violation_id,violation_type,fine_amount,severity,accident_involved,average_speed,violation_date,violation_time,hour,day_name,month,year,time_period,is_weekend,driver_id,driver_age,age_group,driver_gender,license_type,previous_violations,offender_type,vehicle_id,vehicle_type,vehicle_brand,vehicle_age,fuel_type,city_name,state_name,area_name,road_type,latitude,longitude,risk_zone
V000011,Signal Jumping,761.39,Medium,False,43.0,2025-11-04,18:36:00,18,Tuesday,11,2025,Evening,False,D02458,44,36-50,Male,LMV-NT,2,Repeat,VH03746,Car,Hyundai,8,Diesel,Pune,Maharashtra,Wakad,Residential,18.576323543925437,73.81503728984829,Low
V000012,Wrong Side Driving,392.72,Low,False,25.5,2024-08-06,16:16:00,16,Tuesday,8,2024,Afternoon,False,D04334,52,51+,Male,LMV-NT,0,First-time,VH00065,Car,Tata,5,EV,Nagpur,Maharashtra,Pratap Nagar,Residential,21.138357264074255,79.0510920456498,High
V000013,Signal Jumping,605.31,High,False,25.3,2024-10-05,09:38:00,9,Saturday,10,2024,Morning,True,D03470,27,26-35,Male,HMV,4,Habitual,VH06795,Bus,Eicher,15,Petrol,Pune,Maharashtra,Aundh,Residential,18.554533604479445,73.81107091378175,High
V000014,Overspeeding,1945.05,High,False,47.6,2024-01-10,03:04:00,3,Wednesday,1,2024,Night,False,D02988,53,51+,Male,LMV-NT,0,First-time,VH07365,Car,Tata,4,Diesel,Mumbai,Maharashtra,Goregaon,Arterial,19.128661760210413,72.89944392530035,High
V000015,Overspeeding,1749.48,Low,False,57.0,2025-07-27,13:39:00,13,Sunday,7,2025,Afternoon,True,D02722,67,51+,Male,LMV,0,First-time,VH06410,Bike,Hero,13,Diesel,Nagpur,Maharashtra,Kdk Road,Arterial,21.19861631772097,79.06604470277874,High
V000016,Overspeeding,1816.59,Medium,False,38.4,2025-04-26,07:12:00,7,Saturday,4,2025,Morning,True,D02283,20,18-25,Male,LMV,3,Repeat,VH07081,Truck,Ashok Leyland,7,Diesel,Delhi,Delhi,India Gate Area,Arterial,28.604388415093258,77.23446653274881,Medium
V000017,No Helmet,664.47,Medium,True,24.7,2024-04-28,08:11:00,8,Sunday,4,2024,Morning,True,D04724,19,18-25,Male,LMV-NT,1,Repeat,VH01558,SUV,Hyundai,10,Petrol,Ahmedabad,Gujarat,Ahmedabad,Market,19.99509445012277,78.00417570567669,Low
V000018,Drunk Driving,4846.62,High,False,23.4,2025-01-07,13:04:00,13,Tuesday,1,2025,Afternoon,False,D02673,30,26-35,Male,MCWOG,2,Repeat,VH03297,SUV,Mahindra,9,EV,Jaipur,Rajasthan,Jaipur,Market,20.003944168283887,78.00108824955333,High
V000019,Drunk Driving,3218.23,High,False,40.0,2025-09-22,18:19:00,18,Monday,9,2025,Evening,False,D01751,29,26-35,Male,LMV-NT,0,First-time,VH04188,Bike,TVS,10,CNG,Delhi,Delhi,Pitampura,Residential,28.703463723718187,77.11002361651657,High
V000020,Drunk Driving,4856.0,High,False,29.4,2024-12-09,02:52:00,2,Monday,12,2024,Night,False,D00597,57,51+,Female,LMV,3,Repeat,VH03731,Bike,Hero,0,Diesel,Bhopal,Madhya Pradesh,Bhopal,Arterial,19.998288820219955,78.00259530761475,High
V000021,No Helmet,340.71,High,False,43.7,2024-04-19,13:14:00,13,Friday,4,2024,Afternoon,False,D04352,18,18-25,Male,LMV-NT,0,First-time,VH04579,Bike,Hero,3,Diesel,Delhi,Delhi,Pitampura,Residential,28.70590904636939,77.11100079216887,High
V000022,Triple Riding,889.2,Medium,False,14.0,2025-04-01,05:47:00,5,Tuesday,4,2025,Night,False,D00635,53,51+,Male,No License,3,Repeat,VH05846,Bus,Ashok Leyland,15,Diesel,Kolkata,West Bengal,Kolkata,Market,19.995714563017263,77.99543430214165,Medium
V000023,Overspeeding,1407.6,High,False,82.6,2024-08-07,02:26:00,2,Wednesday,8,2024,Night,False,D04717,63,51+,Female,MCWOG,0,First-time,VH03117,Bike,Royal Enfield,12,Petrol,Jaipur,Rajasthan,Jaipur,Highway,19.999539594651147,78.00885483314867,High
V000024,Using Mobile,830.81,Medium,False,28.8,2025-07-13,19:57:00,19,Sunday,7,2025,Evening,True,D01046,65,51+,Female,No License,0,First-time,VH05098,SUV,Hyundai,12,Diesel,Bengaluru,Karnataka,Manyata Tech Park,Arterial,13.02068247259065,77.63813857725174,High
V000025,Overspeeding,1379.1,Low,False,40.6,2024-07-05,01:16:00,1,Friday,7,2024,Night,False,D03853,47,36-50,Female,LMV-NT,2,Repeat,VH00159,Car,Honda,8,EV,Lucknow,Uttar Pradesh,Lucknow,Rural,20.004980485221658,77.99104171216487,Medium
V000026,Triple Riding,321.91,High,False,57.6,2024-07-23,00:39:00,0,Tuesday,7,2024,Night,False,D01375,33,26-35,Male,No License,1,Repeat,VH04964,Car,Hyundai,14,EV,Delhi,Delhi,Noida Expressway,Highway,28.53714494987782,77.3959585130391,High
V000027,Illegal Parking,483.27,Low,False,26.9,2025-08-12,21:58:00,21,Tuesday,8,2025,Night,False,D04919,37,36-50,Female,LMV,0,First-time,VH06599,Bike,KTM,7,EV,Pune,Maharashtra,Aundh,Residential,18.551421101301347,73.8306768870303,Low
V000028,No Helmet,592.16,Medium,False,18.0,2024-01-13,13:52:00,13,Saturday,1,2024,Afternoon,True,D02213,39,36-50,Male,LMV-NT,4,Habitual,VH05046,Bike,Royal Enfield,4,Diesel,Hyderabad,Telangana,Mehdipatnam,Intersection,17.346163984376133,78.42076345812897,Medium
V000029,Triple Riding,560.64,Medium,False,37.5,2024-03-29,08:56:00,8,Friday,3,2024,Morning,False,D01738,33,26-35,Male,LMV-NT,2,Repeat,VH02907,Car,Tata,0,EV,Kolkata,West Bengal,Kolkata,Residential,20.00595664713656,77.99680677686328,High
V000030,Wrong Side Driving,830.72,Low,False,25.7,2025-02-20,15:35:00,15,Thursday,2,2025,Afternoon,False,D01994,33,26-35,Male,HMV,1,Repeat,VH02509,Car,Maruti Suzuki,2,Diesel,Bhopal,Madhya Pradesh,Bhopal,Intersection,20.003279200431937,77.99738040901322,High
V000031,No Helmet,401.12,Medium,False,8.6,2025-04-09,08:19:00,8,Wednesday,4,2025,Morning,False,D02266,62,51+,Male,MCWG,0,First-time,VH05936,Truck,Mahindra,5,Diesel,Jaipur,Rajasthan,Jaipur,Intersection,20.001791738119216,78.00520415790746,High
V000032,Triple Riding,301.27,Medium,False,16.4,2024-01-15,22:34:00,22,Monday,1,2024,Night,False,D03846,37,36-50,Male,LMV,0,First-time,VH03922,Bike,Hero,15,Petrol,Bengaluru,Karnataka,Koramangala,Residential,12.93380937596272,77.6176872734078,Low
V000033,Overspeeding,1151.73,Medium,False,98.7,2025-10-06,21:03:00,21,Monday,10,2025,Night,False,D01849,54,51+,Male,MCWOG,0,First-time,VH06355,Bike,Hero,3,CNG,Bengaluru,Karnataka,Electronic City,Highway,12.890451450702605,77.58901028929778,Medium
V000034,Illegal Parking,184.41,Medium,False,34.8,2024-04-11,06:40:00,6,Thursday,4,2024,Morning,False,D04865,57,51+,Male,LMV,0,First-time,VH03850,Bike,Honda,5,CNG,Bengaluru,Karnataka,Malleshwaram,Residential,13.00582518578062,77.57462952469112,High
V000035,Overspeeding,1803.91,Medium,False,61.9,2025-10-02,18:42:00,18,Thursday,10,2025,Evening,False,D02520,68,51+,Male,MCWG,0,First-time,VH04875,Bike,Hero,8,Petrol,Bengaluru,Karnataka,Electronic City,Highway,12.894979154441392,77.59138414098639,Medium
V000036,No Helmet,550.21,Medium,False,85.9,2025-05-27,17:31:00,17,Tuesday,5,2025,Evening,False,D04713,35,26-35,Male,LMV,2,Repeat,VH04810,Bike,TVS,8,Petrol,Kolkata,West Bengal,Kolkata,Highway,20.00901572555613,78.00999144833754,High
V000037,Overspeeding,1996.95,Medium,False,28.1,2025-03-28,08:11:00,8,Friday,3,2025,Morning,False,D00857,59,51+,Male,LMV-NT,6,Habitual,VH07027,Truck,Eicher,11,EV,Bengaluru,Karnataka,Malleshwaram,Residential,13.003216497053176,77.57823290179576,Medium
V000038,Triple Riding,976.15,Medium,False,36.2,2024-09-15,10:07:00,10,Sunday,9,2024,Morning,True,D02964,38,36-50,Male,LMV-NT,7,Habitual,VH05101,Car,Mahindra,14,Petrol,Bengaluru,Karnataka,Manyata Tech Park,Arterial,13.025128863081111,77.6325081748429,Low
V000039,Wrong Side Driving,981.2,Medium,False,44.4,2025-05-11,03:01:00,3,Sunday,5,2025,Night,True,D00930,62,51+,Male,MCWOG,0,First-time,VH03781,Bus,Eicher,0,CNG,Delhi,Delhi,India Gate Area,Arterial,28.621941214847187,77.23195419377568,Low
V000040,Signal Jumping,775.63,Medium,False,49.2,2025-04-28,07:29:00,7,Monday,4,2025,Morning,False,D04160,48,36-50,Male,HMV,1,Repeat,VH02189,Truck,Ashok Leyland,2,CNG,Kolkata,West Bengal,Kolkata,Rural,20.00641098946371,77.99565677966565,Medium
V000041,Illegal Parking,320.77,Low,False,15.9,2025-05-10,11:21:00,11,Saturday,5,2025,Morning,True,D03366,52,51+,Male,MCWOG,0,First-time,VH00358,Car,Hyundai,7,CNG,Lucknow,Uttar Pradesh,Lucknow,Market,19.996363526544677,77.99945952500481,Medium
V000042,Triple Riding,465.6,Low,False,35.0,2024-05-09,16:37:00,16,Thursday,5,2024,Afternoon,False,D01265,20,18-25,Male,No License,0,First-time,VH00613,Car,Honda,0,Diesel,Chennai,Tamil Nadu,Chennai,Rural,19.999389812019693,78.00938407261148,Medium
V000043,No Helmet,701.44,Medium,False,74.4,2025-06-30,12:20:00,12,Monday,6,2025,Afternoon,False,D00741,61,51+,Female,MCWG,1,Repeat,VH03556,Bike,TVS,2,EV,Lucknow,Uttar Pradesh,Lucknow,Rural,20.00956675456441,78.00520739385989,High
V000044,Overspeeding,1374.84,Low,False,25.8,2024-02-27,09:22:00,9,Tuesday,2,2024,Morning,False,D03134,38,36-50,Male,MCWG,1,Repeat,VH05077,Bike,Hero,5,Petrol,Pune,Maharashtra,Kharadi,Arterial,18.543662691599252,73.88995334504736,High
V000045,No Helmet,637.28,Medium,False,23.0,2025-04-21,09:43:00,9,Monday,4,2025,Morning,False,D02475,18,18-25,Male,No License,7,Habitual,VH01632,Bike,Bajaj,13,EV,Mumbai,Maharashtra,Marine Drive,Coastal,18.959987471310004,72.8270667091732,Low
V000046,Wrong Side Driving,492.14,Critical,False,32.0,2024-01-23,21:25:00,21,Tuesday,1,2024,Night,False,D02887,36,36-50,Male,HMV,2,Repeat,VH01795,Car,Maruti Suzuki,15,Diesel,Delhi,Delhi,Pitampura,Residential,28.706732357560117,77.10441782326261,Critical
V000047,No Seatbelt,447.15,Low,False,52.0,2025-10-04,20:02:00,20,Saturday,10,2025,Evening,True,D01083,24,18-25,Male,HMV,2,Repeat,VH06444,Truck,Tata,9,CNG,Ahmedabad,Gujarat,Ahmedabad,Rural,20.000788155179688,78.00942979162423,High
V000048,Triple Riding,470.97,High,False,8.5,2024-10-29,23:55:00,23,Tuesday,10,2024,Night,False,D03233,48,36-50,Male,MCWOG,0,First-time,VH00115,Bike,Hero,12,EV,Jaipur,Rajasthan,Jaipur,Intersection,19.995289171567048,77.99247177473526,High
V000049,Wrong Side Driving,317.52,Critical,False,55.4,2025-11-22,07:30:00,7,Saturday,11,2025,Morning,True,D02476,24,18-25,Female,No License,5,Habitual,VH05319,Auto,Bajaj,2,CNG,Hyderabad,Telangana,Secunderabad,Arterial,17.45816591711591,78.51279554025014,Critical
V000050,Illegal Parking,248.4,Low,False,24.0,2024-05-18,12:29:00,12,Saturday,5,2024,Afternoon,True,D03344,52,51+,Female,LMV-NT,1,Repeat,VH07693,Bike,TVS,4,Petrol,Nagpur,Maharashtra,Itwari Bazaar,Market,21.11903043050762,79.0806543257371,Medium
V000051,No Helmet,982.27,Medium,False,12.2,2025-01-11,17:57:00,17,Saturday,1,2025,Evening,True,D04892,61,51+,Male,LMV,0,First-time,VH07956,Bike,Honda,14,Diesel,Delhi,Delhi,Laxmi Nagar,Market,28.62542714909473,77.28773589180909,Low
V000052,Overspeeding,1774.37,Medium,False,38.7,2024-08-09,07:21:00,7,Friday,8,2024,Morning,False,D00901,55,51+,Male,MCWOG,0,First-time,VH05416,Auto,Bajaj,4,EV,Mumbai,Maharashtra,Borivali,Residential,19.157328957770133,72.83263606459124,Medium
V000053,Signal Jumping,872.83,Low,False,14.5,2025-03-07,16:07:00,16,Friday,3,2025,Afternoon,False,D00356,65,51+,Female,MCWOG,1,Repeat,VH05958,Bike,Honda,14,Diesel,Delhi,Delhi,Karol Bagh,Market,28.655664539919606,77.2373396181552,High
V000054,Drunk Driving,3470.81,Critical,False,104.6,2025-03-12,21:06:00,21,Wednesday,3,2025,Night,False,D04796,43,36-50,Male,LMV,0,First-time,VH04493,Bike,TVS,4,Diesel,Bengaluru,Karnataka,Electronic City,Highway,12.894243055928527,77.58761808797638,Critical
V000055,Signal Jumping,827.36,Medium,False,22.6,2025-12-19,03:54:00,3,Friday,12,2025,Night,False,D03716,68,51+,Male,MCWG,4,Habitual,VH03267,Car,Honda,14,CNG,Lucknow,Uttar Pradesh,Lucknow,Market,19.99831979300523,77.9919017167855,Medium
V000056,Signal Jumping,715.94,Critical,False,49.8,2024-04-03,02:05:00,2,Wednesday,4,2024,Night,False,D03465,22,18-25,Male,No License,0,First-time,VH07112,Bike,Honda,10,Petrol,Hyderabad,Telangana,Secunderabad,Arterial,17.468316873419443,78.51102892159945,Critical
V000057,Signal Jumping,923.64,Medium,False,25.5,2025-11-03,15:14:00,15,Monday,11,2025,Afternoon,False,D02191,27,26-35,Male,LMV-NT,0,First-time,VH00238,Bike,Bajaj,7,Petrol,Bengaluru,Karnataka,Malleshwaram,Residential,13.003608321439216,77.58405397545731,Medium
V000058,Overspeeding,1633.17,Medium,False,21.2,2024-03-12,04:47:00,4,Tuesday,3,2024,Night,False,D02658,43,36-50,Male,HMV,0,First-time,VH06364,Bus,Ashok Leyland,14,Diesel,Hyderabad,Telangana,LB Nagar,Arterial,17.328828148479403,78.4819244754441,Low
V000059,No Seatbelt,685.66,Low,False,36.6,2025-11-08,13:31:00,13,Saturday,11,2025,Afternoon,True,D04859,46,36-50,Male,LMV,1,Repeat,VH03987,Bike,Bajaj,13,EV,Mumbai,Maharashtra,Lower Parel,Arterial,19.017538682142963,72.84616838783703,Low
V000060,Overspeeding,1328.12,Critical,False,5.2,2024-05-20,08:18:00,8,Monday,5,2024,Morning,False,D00347,67,51+,Male,MCWOG,0,First-time,VH03574,Bike,Royal Enfield,7,EV,Chennai,Tamil Nadu,Chennai,Market,19.990374830731714,78.00842324869005,Critical
V000061,No Helmet,972.96,Medium,False,26.9,2024-04-27,12:01:00,12,Saturday,4,2024,Afternoon,True,D01994,36,36-50,Female,LMV,1,Repeat,VH03570,Car,Mahindra,11,CNG,Hyderabad,Telangana,Uppal,Arterial,17.471777425766057,78.56047925086001,Medium
V000062,Signal Jumping,596.95,Low,False,51.0,2024-04-26,16:32:00,16,Friday,4,2024,Afternoon,False,D01617,58,51+,Male,MCWG,6,Habitual,VH01422,Auto,TVS,4,Petrol,Bengaluru,Karnataka,Indiranagar,Arterial,12.982047979705463,77.57520430591093,High
V000063,Illegal Parking,469.66,Medium,False,31.9,2025-08-16,14:43:00,14,Saturday,8,2025,Afternoon,True,D03623,54,51+,Male,MCWG,1,Repeat,VH05173,Car,Mahindra,10,CNG,Pune,Maharashtra,Aundh,Residential,18.555056408702782,73.81649347334972,Low
V000064,Overspeeding,1864.25,Low,False,30.7,2024-10-20,02:41:00,2,Sunday,10,2024,Night,True,D03897,41,36-50,Male,LMV-NT,1,Repeat,VH04108,Car,Honda,1,Diesel,Hyderabad,Telangana,Mehdipatnam,Intersection,17.33301722153391,78.41123747400202,Low
V000065,No Helmet,687.84,Low,False,71.8,2025-03-25,16:33:00,16,Tuesday,3,2025,Afternoon,False,D00775,46,36-50,Male,No License,0,First-time,VH04571,Bike,Bajaj,1,EV,Hyderabad,Telangana,Gachibowli ORR,Highway,17.4435675868968,78.34368293947756,High
V000066,Using Mobile,1547.72,Medium,False,12.8,2024-12-24,09:41:00,9,Tuesday,12,2024,Morning,False,D04313,27,26-35,Male,No License,5,Habitual,VH00766,Bike,Bajaj,12,EV,Ahmedabad,Gujarat,Ahmedabad,Market,20.00292049641467,77.99846812732645,Medium
V000067,Signal Jumping,999.99,Medium,False,26.2,2025-05-12,06:14:00,6,Monday,5,2025,Morning,False,D01074,67,51+,Female,No License,3,Repeat,VH04893,SUV,Honda,1,EV,Nagpur,Maharashtra,Kdk Road,Arterial,21.187534397416453,79.05324494424177,High
V000068,No Seatbelt,427.94,Medium,False,49.9,2024-08-31,14:39:00,14,Saturday,8,2024,Afternoon,True,D04673,64,51+,Male,MCWG,1,Repeat,VH03610,Bike,Bajaj,15,EV,Lucknow,Uttar Pradesh,Lucknow,Arterial,19.99923359956882,77.99563543465408,Medium
V000069,No Helmet,712.94,Low,False,22.5,2024-05-21,08:03:00,8,Tuesday,5,2024,Morning,False,D02235,56,51+,Male,HMV,0,First-time,VH03681,Bike,TVS,3,Petrol,Jaipur,Rajasthan,Jaipur,Market,20.008106124179566,77.99294697311983,Medium
V000070,Triple Riding,499.17,Critical,False,73.2,2024-02-24,12:32:00,12,Saturday,2,2024,Afternoon,True,D01128,44,36-50,Male,No License,0,First-time,VH00314,Bus,Ashok Leyland,3,EV,Pune,Maharashtra,Katraj,Highway,18.495737587946266,73.87659523166306,Critical
V000071,No Seatbelt,867.97,Medium,False,42.0,2024-01-20,08:13:00,8,Saturday,1,2024,Morning,True,D01954,23,18-25,Male,MCWG,1,Repeat,VH03440,Car,Maruti Suzuki,9,EV,Bhopal,Madhya Pradesh,Bhopal,Arterial,20.002779034643456,78.00245621136682,Low
V000072,Wrong Side Driving,301.1,Medium,False,34.1,2024-05-27,09:27:00,9,Monday,5,2024,Morning,False,D04310,33,26-35,Male,MCWOG,0,First-time,VH04458,Bike,KTM,2,EV,Pune,Maharashtra,Kharadi,Arterial,18.540146553931596,73.89976662971193,High
V000073,Using Mobile,1035.64,Medium,False,17.0,2024-09-16,23:01:00,23,Monday,9,2024,Night,False,D02774,41,36-50,Male,MCWG,2,Repeat,VH06665,Bike,Honda,10,Petrol,Nagpur,Maharashtra,Lakshmi Nagar,Residential,21.157855912324056,79.04660767313528,High
V000074,No Helmet,361.27,Low,False,69.6,2025-04-13,01:18:00,1,Sunday,4,2025,Night,True,D01566,63,51+,Male,MCWOG,0,First-time,VH02344,Bike,Bajaj,12,CNG,Kolkata,West Bengal,Kolkata,Rural,19.99713948352071,78.00561683133957,High
V000075,Overspeeding,1973.72,High,False,39.8,2025-03-26,12:21:00,12,Wednesday,3,2025,Afternoon,False,D04936,65,51+,Male,LMV,5,Habitual,VH06737,Bike,TVS,8,CNG,Hyderabad,Telangana,Secunderabad,Arterial,17.453609129718764,78.51587532838005,High
V000076,Signal Jumping,721.95,Medium,False,18.4,2025-03-12,05:44:00,5,Wednesday,3,2025,Night,False,D03328,63,51+,Male,HMV,5,Habitual,VH02977,Bike,TVS,13,Petrol,Pune,Maharashtra,Swargate,Intersection,18.53126172038929,73.84899795968524,Low
V000077,Using Mobile,1467.74,Medium,False,34.5,2024-03-09,07:49:00,7,Saturday,3,2024,Morning,True,D00630,26,26-35,Male,HMV,0,First-time,VH04702,Truck,Ashok Leyland,14,EV,Nagpur,Maharashtra,Hingna Industrial,Industrial,21.092753902156574,79.05733899897308,Medium
V000078,Signal Jumping,780.84,High,False,12.9,2025-06-14,12:58:00,12,Saturday,6,2025,Afternoon,True,D01112,49,36-50,Male,No License,0,First-time,VH06987,Bike,TVS,9,CNG,Ahmedabad,Gujarat,Ahmedabad,Intersection,19.99148104078353,77.99345312727968,High
V000079,Illegal Parking,125.98,Critical,False,31.3,2025-11-14,11:45:00,11,Friday,11,2025,Morning,False,D01647,38,36-50,Male,HMV,4,Habitual,VH06489,Auto,TVS,5,Diesel,Bhopal,Madhya Pradesh,Bhopal,Residential,19.992777537440766,78.00580746121615,Critical
V000080,Wrong Side Driving,360.35,High,False,32.4,2024-05-12,19:56:00,19,Sunday,5,2024,Evening,True,D02598,53,51+,Male,LMV-NT,2,Repeat,VH05263,Bike,TVS,13,Petrol,Nagpur,Maharashtra,Kdk Road,Arterial,21.181483300395307,79.05931666399242,High
V000081,Overspeeding,1502.86,Medium,False,31.0,2024-07-05,04:27:00,4,Friday,7,2024,Night,False,D01848,55,51+,Female,MCWG,1,Repeat,VH02835,Auto,Piaggio,5,EV,Jaipur,Rajasthan,Jaipur,Intersection,20.008949662736192,78.00037795586809,Medium
V000082,Overspeeding,1093.43,Medium,False,45.6,2024-11-06,19:34:00,19,Wednesday,11,2024,Evening,False,D00233,58,51+,Female,MCWOG,1,Repeat,VH00666,SUV,Tata,10,Petrol,Pune,Maharashtra,Bavdhan,Arterial,18.550909236065827,73.78282907467648,High
V000083,No Seatbelt,713.53,Medium,False,32.1,2025-10-04,17:18:00,17,Saturday,10,2025,Evening,True,D01295,49,36-50,Male,LMV-NT,3,Repeat,VH03602,Car,Honda,9,Petrol,Bengaluru,Karnataka,Whitefield,Arterial,12.968312434924282,77.63928884315551,Medium
V000084,Signal Jumping,685.27,High,False,42.5,2025-02-12,04:48:00,4,Wednesday,2,2025,Night,False,D02378,40,36-50,Male,MCWG,1,Repeat,VH07745,Truck,BharatBenz,14,Diesel,Lucknow,Uttar Pradesh,Lucknow,Arterial,19.997682996670033,78.00230754888328,High
V000085,Triple Riding,573.45,High,False,41.4,2024-06-12,15:32:00,15,Wednesday,6,2024,Afternoon,False,D00399,30,26-35,Male,MCWG,0,First-time,VH00415,SUV,Toyota,14,Diesel,Delhi,Delhi,Rohini,Residential,28.66462712676747,77.45495037542021,High
V000086,No Helmet,492.62,High,True,50.2,2024-05-17,08:46:00,8,Friday,5,2024,Morning,False,D04131,45,36-50,Male,HMV,0,First-time,VH03690,Car,Toyota,6,EV,Ahmedabad,Gujarat,Ahmedabad,Rural,20.005288082294143,77.99559441355248,High
V000087,Wrong Side Driving,828.48,Low,False,40.0,2024-12-13,17:23:00,17,Friday,12,2024,Evening,False,D04255,41,36-50,Male,MCWG,1,Repeat,VH03744,Bike,Honda,1,EV,Lucknow,Uttar Pradesh,Lucknow,Rural,19.99297881329153,78.00786263384155,Low
V000088,Signal Jumping,914.14,Medium,False,41.3,2025-08-30,10:32:00,10,Saturday,8,2025,Morning,True,D04782,37,36-50,Female,HMV,0,First-time,VH02521,Car,Maruti Suzuki,11,Petrol,Hyderabad,Telangana,Uppal,Arterial,17.4759350962786,78.56450648425104,High
V000089,Wrong Side Driving,804.98,High,False,85.0,2025-08-15,18:14:00,18,Friday,8,2025,Evening,False,D00901,67,51+,Male,MCWG,1,Repeat,VH01563,Bike,TVS,12,Diesel,Ahmedabad,Gujarat,Ahmedabad,Highway,19.99037874735013,77.99627384966892,High
V000090,Drunk Driving,3556.05,High,False,21.8,2024-03-04,22:08:00,22,Monday,3,2024,Night,False,D02805,48,36-50,Female,MCWG,1,Repeat,VH04476,Car,Honda,10,CNG,Mumbai,Maharashtra,Dadar Junction,Intersection,19.037085739772895,72.86543979568297,High
V000091,Drunk Driving,2895.5,Medium,False,77.1,2024-09-09,08:35:00,8,Monday,9,2024,Morning,False,D02241,30,26-35,Male,HMV,3,Repeat,VH02358,Truck,Ashok Leyland,15,CNG,Bhopal,Madhya Pradesh,Bhopal,Rural,19.992437482114653,78.00353244491565,Medium
V000092,Illegal Parking,276.95,Medium,False,12.7,2024-03-21,11:59:00,11,Thursday,3,2024,Morning,False,D04808,36,36-50,Male,MCWOG,0,First-time,VH01961,Auto,TVS,8,EV,Chennai,Tamil Nadu,Chennai,Intersection,19.994849160768204,78.00339667929786,High
V000093,Overspeeding,1964.52,High,False,59.1,2025-11-28,04:00:00,4,Friday,11,2025,Night,False,D02354,24,18-25,Male,No License,2,Repeat,VH02632,Car,Honda,15,Diesel,Delhi,Delhi,Saket,Arterial,28.56270830682604,77.20118325172483,High
V000094,Signal Jumping,918.8,High,True,43.0,2024-06-28,13:56:00,13,Friday,6,2024,Afternoon,False,D00076,20,18-25,Female,No License,3,Repeat,VH02445,Truck,Eicher,5,EV,Pune,Maharashtra,Wakad,Residential,18.581359237373288,73.80214601381547,High
V000095,No Helmet,354.25,Medium,False,24.5,2025-05-31,14:17:00,14,Saturday,5,2025,Afternoon,True,D04652,26,26-35,Male,LMV,1,Repeat,VH05525,Car,Tata,5,EV,Hyderabad,Telangana,Secunderabad,Arterial,17.465145655005152,78.51350989827677,High
