violation_id,city_sk,location_sk,driver_sk,vehicle_sk,time_key,violation_date,violation_time,violation_type,fine_amount,severity,accident_involved,road_type,average_speed,weather_condition,lane_affected,department_status,age_group,time_period,offender_type
V20250111000019,19,19,19,19,377,2025-01-11,08:09:38,No Seatbelt,500,Low,No,National Highway,86,Cloudy,Lane 1,Dispatched,18-25,Morning Peak,Repeat
V20240102000020,71,20,20,20,2,2024-01-02,10:47:01,Drunk Driving,8100,Critical,No,City Road,30,Clear,Multiple Lanes,Notified,46-55,Morning Peak,Repeat
V20240122000021,109,21,21,21,22,2024-01-22,17:36:12,Triple Riding,1000,Medium,No,State Highway,61,Clear,Lane 2,Under Review,26-35,Evening Peak,First Time
V20250312000022,38,22,22,22,437,2025-03-12,16:23:53,Overspeeding,1300,High,No,National Highway,91,Clear,Shoulder,Active,26-35,Mid Day,First Time
V20251115000023,64,23,23,23,685,2025-11-15,21:38:49,Wrong Side Driving,700,High,No,State Highway,70,Clear,Multiple Lanes,Notified,18-25,Evening,First Time
V20250422000024,45,24,24,24,478,2025-04-22,17:58:49,No Seatbelt,1000,Medium,No,Local Street,38,Clear,Lane 1,Active,26-35,Evening Peak,Repeat
V20241122000025,76,25,25,25,327,2024-11-22,18:27:49,Overspeeding,1700,Medium,No,Local Street,42,Clear,Multiple Lanes,Notified,36-45,Evening Peak,First Time
V20250728000026,55,26,26,26,575,2025-07-28,09:02:14,Drunk Driving,3500,High,No,Expressway,112,Clear,Lane 2,Dispatched,18-25,Morning Peak,Repeat
V20250305000027,41,27,27,27,430,2025-03-05,15:01:04,Wrong Parking,200,Low,No,National Highway,84,Clear,Lane 1,Dispatched,26-35,Mid Day,First Time
V20250530000028,58,28,28,28,516,2025-05-30,08:18:48,Wrong Parking,400,Low,No,City Road,25,Clear,Lane 1,Notified,26-35,Morning Peak,First Time
V20241009000029,79,29,29,29,283,2024-10-09,11:33:11,No License,2200,High,No,State Highway,57,Clear,Lane 1,Active,18-25,Mid Day,Habitual
V20250410000030,82,30,30,30,466,2025-04-10,20:35:59,No Seatbelt,600,Medium,No,City Road,29,Rainy,Lane 1,Notified,18-25,Evening,Habitual
V20250409000031,10,31,31,31,465,2025-04-09,13:47:30,Signal Jumping,900,Medium,No,Local Street,25,Stormy,Multiple Lanes,Active,56-65,Mid Day,Repeat
V20250417000032,11,32,32,32,473,2025-04-17,07:57:10,Dangerous Driving,1400,Critical,No,City Road,25,Stormy,Lane 2,Notified,26-35,Early Morning,First Time
V20250408000033,60,33,33,33,464,2025-04-08,18:29:36,Red Light Violation,900,Medium,No,City Road,37,Clear,Lane 1,Active,36-45,Evening Peak,First Time
V20250925000034,21,34,34,34,634,2025-09-25,20:10:21,Overspeeding,500,Medium,No,City Road,52,Clear,Lane 2,Notified,56-65,Evening,Habitual
V20240719000035,75,35,35,35,201,2024-07-19,22:23:25,Signal Jumping,600,Medium,Yes,City Road,40,Clear,Shoulder,Dispatched,26-35,Evening,Repeat
V20250525000036,103,36,36,36,511,2025-05-25,18:31:56,Mobile Usage,2500,Medium,No,City Road,38,Clear,Lane 2,Dispatched,36-45,Evening Peak,Repeat
V20240330000037,12,37,37,37,90,2024-03-30,00:36:21,Wrong Parking,200,Low,No,City Road,28,Clear,Multiple Lanes,Notified,46-55,Late Night,Repeat
V20250524000038,25,38,38,38,510,2025-05-24,20:04:11,No Helmet,500,Medium,No,City Road,33,Cloudy,Lane 1,Active,26-35,Evening,First Time
V20240811000039,24,39,39,39,224,2024-08-11,17:25:05,Red Light Violation,700,Medium,No,City Road,25,Clear,Lane 3,Dispatched,26-35,Evening Peak,First Time
V20251216000040,72,40,40,40,716,2025-12-16,15:05:43,Overspeeding,900,High,No,Expressway,162,Clear,Lane 1,Dispatched,56-65,Mid Day,Habitual
V20240826000041,22,41,41,41,239,2024-08-26,10:29:15,Triple Riding,900,Medium,No,City Road,45,Clear,Shoulder,Dispatched,18-25,Morning Peak,First Time
V20250108000042,65,42,42,42,374,2025-01-08,19:06:32,No Helmet,600,Medium,No,Local Street,31,Clear,Multiple Lanes,Notified,26-35,Evening Peak,Habitual
V20250528000043,40,43,43,43,514,2025-05-28,10:32:00,Overspeeding,1600,Medium,No,City Road,79,Foggy,Shoulder,Dispatched,26-35,Morning Peak,Repeat
V20241102000044,23,44,44,44,307,2024-11-02,20:37:48,Mobile Usage,4400,High,No,Local Street,36,Clear,Multiple Lanes,Under Review,56-65,Evening,Repeat
V20241020000045,83,45,45,45,294,2024-10-20,18:03:52,No Helmet,600,Medium,No,City Road,48,Rainy,Multiple Lanes,Dispatched,46-55,Evening Peak,Repeat
V20251219000046,70,46,46,46,719,2025-12-19,06:32:12,Overspeeding,800,High,No,National Highway,128,Rainy,Lane 1,Active,18-25,Early Morning,Repeat
V20250619000047,87,47,47,47,536,2025-06-19,10:06:31,Overspeeding,1100,Medium,No,State Highway,69,Clear,Lane 2,Dispatched,26-35,Morning Peak,Habitual
V20240605000048,108,48,48,48,157,2024-06-05,19:26:13,Dangerous Driving,3700,High,No,State Highway,61,Stormy,Lane 2,Active,46-55,Evening Peak,First Time
V20241127000049,12,49,49,49,332,2024-11-27,16:18:32,No Helmet,800,Medium,No,State Highway,66,Clear,Lane 2,Dispatched,56-65,Mid Day,Repeat
V20241031000050,30,50,50,50,305,2024-10-31,05:03:07,No Helmet,700,Medium,No,Local Street,37,Clear,Multiple Lanes,Dispatched,18-25,Early Morning,Repeat
V20240314000051,39,51,51,51,74,2024-03-14,15:51:05,Wrong Parking,300,Low,No,City Road,40,Rainy,Lane 3,Active,65+,Mid Day,First Time
V20250323000052,61,52,52,52,448,2025-03-23,08:37:52,No Seatbelt,600,Low,No,City Road,32,Clear,Multiple Lanes,Active,65+,Morning Peak,Repeat
V20240326000053,86,53,53,53,86,2024-03-26,09:01:17,Overspeeding,800,High,No,Local Street,36,Clear,Lane 2,Under Review,26-35,Morning Peak,First Time
V20250701000054,31,54,54,54,548,2025-07-01,04:43:02,Overspeeding,1700,Medium,No,Local Street,38,Foggy,Shoulder,Dispatched,18-25,Late Night,First Time
V20241215000055,46,55,55,55,350,2024-12-15,21:54:28,Overspeeding,700,High,No,Expressway,92,Cloudy,Lane 1,Under Review,46-55,Evening,First Time
V20250704000056,56,56,56,56,551,2025-07-04,13:37:56,Overspeeding,1400,Medium,No,City Road,45,Foggy,Lane 1,Under Review,26-35,Mid Day,Repeat
V20240531000057,55,57,57,57,152,2024-05-31,15:43:34,Wrong Side Driving,1400,High,No,City Road,50,Cloudy,Lane 2,Under Review,26-35,Mid Day,Repeat
V20250328000058,39,58,58,58,453,2025-03-28,10:37:17,No Seatbelt,900,Low,No,City Road,33,Clear,Lane 1,Active,26-35,Morning Peak,First Time
V20241213000059,68,59,59,59,348,2024-12-13,16:39:08,Triple Riding,800,Medium,No,City Road,42,Clear,Multiple Lanes,Dispatched,36-45,Mid Day,Repeat
V20240302000060,64,60,60,60,62,2024-03-02,08:14:00,No Helmet,600,Medium,No,City Road,42,Stormy,Lane 2,Under Review,46-55,Morning Peak,Repeat
V20240715000061,14,61,61,61,197,2024-07-15,17:17:04,Signal Jumping,700,Medium,No,City Road,49,Rainy,Multiple Lanes,Under Review,18-25,Evening Peak,First Time
V20240127000062,18,62,62,62,27,2024-01-27,20:36:38,Signal Jumping,900,Medium,No,City Road,43,Clear,Lane 1,Notified,26-35,Evening,Repeat
V20251110000063,45,63,63,63,680,2025-11-10,02:33:01,No Seatbelt,600,Low,No,Local Street,38,Foggy,Multiple Lanes,Dispatched,18-25,Late Night,First Time
V20250526000064,35,64,64,64,512,2025-05-26,22:02:25,No Helmet,800,Medium,Yes,Local Street,27,Clear,Lane 1,Dispatched,36-45,Evening,Repeat
V20240320000065,30,65,65,65,80,2024-03-20,09:19:39,Signal Jumping,600,Medium,No,State Highway,80,Cloudy,Shoulder,Under Review,26-35,Morning Peak,Repeat
V20240808000066,52,66,66,66,221,2024-08-08,09:33:59,Drunk Driving,2700,Critical,No,State Highway,53,Clear,Multiple Lanes,Under Review,56-65,Morning Peak,First Time
V20240527000067,7,67,67,67,148,2024-05-27,10:32:20,Red Light Violation,1000,Medium,No,City Road,35,Rainy,Lane 1,Under Review,18-25,Morning Peak,First Time
V20250127000068,27,68,68,68,393,2025-01-27,21:34:32,No Seatbelt,600,Medium,No,Expressway,78,Cloudy,Multiple Lanes,Active,18-25,Evening,Repeat
V20240509000069,5,69,69,69,130,2024-05-09,00:00:02,No Helmet,700,Medium,No,City Road,26,Clear,Shoulder,Dispatched,26-35,Late Night,First Time
V20240614000070,97,70,70,70,166,2024-06-14,10:09:53,Overspeeding,800,High,No,Expressway,145,Rainy,Lane 2,Notified,36-45,Morning Peak,First Time
V20240129000071,2,71,71,71,29,2024-01-29,11:15:38,Wrong Parking,400,Low,No,City Road,25,Foggy,Lane 2,Active,18-25,Mid Day,First Time
V20241129000072,48,72,72,72,334,2024-11-29,14:55:48,Mobile Usage,1100,Medium,No,National Highway,100,Rainy,Lane 1,Active,18-25,Mid Day,Repeat
V20250613000073,76,73,73,73,530,2025-06-13,11:33:37,Overspeeding,900,High,No,National Highway,148,Clear,Multiple Lanes,Dispatched,36-45,Mid Day,Repeat
V20250714000074,42,74,74,74,561,2025-07-14,12:49:47,Overspeeding,1800,Medium,No,City Road,82,Clear,Lane 2,Under Review,18-25,Mid Day,Repeat
V20250304000075,69,75,75,75,429,2025-03-04,08:44:02,Wrong Parking,400,Low,No,National Highway,91,Stormy,Shoulder,Dispatched,56-65,Morning Peak,Repeat
V20240320000076,12,76,76,76,80,2024-03-20,18:37:57,No Seatbelt,900,Low,No,City Road,50,Clear,Lane 2,Active,18-25,Evening Peak,First Time
V20251122000077,18,77,77,77,692,2025-11-22,20:56:56,Overspeeding,700,High,No,National Highway,138,Foggy,Lane 1,Dispatched,18-25,Evening,Habitual
V20250329000078,72,78,78,78,454,2025-03-29,21:32:34,Mobile Usage,4500,High,No,Local Street,24,Rainy,Multiple Lanes,Active,26-35,Evening,First Time
V20240325000079,66,79,79,79,85,2024-03-25,15:22:23,Wrong Parking,400,Low,No,City Road,28,Rainy,Lane 2,Under Review,18-25,Mid Day,First Time
V20241108000080,57,80,80,80,313,2024-11-08,21:10:06,Drunk Driving,7800,Critical,No,City Road,44,Cloudy,Lane 1,Active,18-25,Evening,Repeat
V20240929000081,13,81,81,81,273,2024-09-29,10:29:21,No Seatbelt,900,Low,No,City Road,54,Cloudy,Multiple Lanes,Notified,18-25,Morning Peak,First Time
V20250626000082,34,82,82,82,543,2025-06-26,09:50:43,Dangerous Driving,4700,High,No,National Highway,84,Cloudy,Lane 1,Notified,65+,Morning Peak,First Time
V20250323000083,48,83,83,83,448,2025-03-23,09:20:57,Overspeeding,1400,High,Yes,City Road,55,Foggy,Lane 3,Dispatched,18-25,Morning Peak,Habitual
V20241010000084,87,84,84,84,284,2024-10-10,23:48:53,No License,2900,High,No,City Road,41,Clear,Lane 1,Active,46-55,Late Night,First Time
V20241006000085,46,85,85,85,280,2024-10-06,18:28:49,Overspeeding,1800,High,No,City Road,47,Clear,Multiple Lanes,Notified,18-25,Evening Peak,Repeat
V20240121000086,6,86,86,86,21,2024-01-21,12:03:10,Red Light Violation,900,Medium,No,Local Street,36,Clear,Shoulder,Dispatched,56-65,Mid Day,First Time
V20240220000087,13,87,87,87,51,2024-02-20,16:21:04,Overspeeding,600,Medium,No,State Highway,99,Cloudy,Shoulder,Notified,26-35,Mid Day,First Time
V20240514000088,41,88,88,88,135,2024-05-14,22:55:59,Overspeeding,1700,Medium,Yes,City Road,34,Clear,Lane 1,Active,26-35,Evening,First Time
V20241005000089,4,89,89,89,279,2024-10-05,18:54:10,Mobile Usage,5000,Medium,No,City Road,40,Rainy,Lane 2,Dispatched,46-55,Evening Peak,First Time
V20240415000090,59,90,90,90,106,2024-04-15,15:42:28,Signal Jumping,800,Medium,No,State Highway,55,Clear,Shoulder,Active,36-45,Mid Day,First Time
V20240519000091,86,91,91,91,140,2024-05-19,07:54:10,Drunk Driving,4800,Critical,No,State Highway,67,Rainy,Lane 3,Active,26-35,Early Morning,Habitual
V20240809000092,55,92,92,92,222,2024-08-09,06:49:10,Dangerous Driving,2300,Critical,No,City Road,26,Foggy,Multiple Lanes,Dispatched,36-45,Early Morning,Habitual
V20250616000093,47,93,93,25,533,2025-06-16,21:29:52,Signal Jumping,700,Medium,Yes,City Road,46,Clear,Shoulder,Dispatched,36-45,Evening,First Time
V20250319000094,42,94,94,93,444,2025-03-19,09:06:28,Signal Jumping,1000,Medium,No,National Highway,69,Stormy,Multiple Lanes,Dispatched,36-45,Morning Peak,Repeat
V20240518000095,109,95,95,94,139,2024-05-18,17:12:54,Overspeeding,1600,High,No,State Highway,97,Cloudy,Multiple Lanes,Under Review,36-45,Evening Peak,First Time
V20251008000096,109,96,96,95,647,2025-10-08,16:28:28,Signal Jumping,600,Medium,No,Local Street,29,Clear,Multiple Lanes,Notified,18-25,Mid Day,First Time
V20240611000097,69,97,97,96,163,2024-06-11,06:30:40,Overspeeding,1100,Medium,No,Local Street,52,Cloudy,Multiple Lanes,Notified,36-45,Early Morning,Repeat
V20240715000098,51,98,98,97,197,2024-07-15,07:16:01,Overspeeding,800,Medium,No,City Road,77,Clear,Lane 3,Under Review,26-35,Early Morning,Repeat
V20240619000099,76,99,99,98,171,2024-06-19,16:16:02,Overspeeding,1800,High,No,Expressway,180,Rainy,Lane 1,Dispatched,65+,Mid Day,Repeat
V20250729000100,30,100,100,99,576,2025-07-29,09:27:47,Wrong Parking,300,Low,No,National Highway,86,Clear,Lane 2,Dispatched,26-35,Morning Peak,Repeat
V20251110000101,1,101,101,100,680,2025-11-10,17:01:17,No Helmet,900,Medium,No,National Highway,64,Rainy,Lane 3,Active,26-35,Evening Peak,First Time
V20240502000102,13,102,102,101,123,2024-05-02,09:27:31,No Seatbelt,900,Medium,No,City Road,32,Clear,Lane 1,Dispatched,18-25,Morning Peak,First Time
V20241113000103,86,103,103,102,318,2024-11-13,17:56:22,No Seatbelt,700,Medium,No,City Road,43,Clear,Lane 1,Dispatched,18-25,Evening Peak,Repeat
V20250321000104,25,104,104,103,446,2025-03-21,09:45:22,Wrong Parking,300,Low,No,State Highway,79,Cloudy,Shoulder,Active,18-25,Morning Peak,First Time
V20251023000105,38,105,105,104,662,2025-10-23,20:26:04,Overspeeding,500,Medium,No,National Highway,80,Clear,Lane 1,Active,56-65,Evening,Habitual
V20240829000106,78,106,106,105,242,2024-08-29,15:18:41,Overspeeding,700,Medium,No,City Road,33,Stormy,Multiple Lanes,Active,26-35,Mid Day,First Time
V20250619000107,38,80,107,106,536,2025-06-19,11:41:04,Wrong Parking,400,Low,No,City Road,52,Clear,Lane 2,Under Review,18-25,Mid Day,First Time
V20251108000108,101,107,108,107,678,2025-11-08,10:20:15,Signal Jumping,1000,Medium,No,City Road,30,Cloudy,Lane 3,Notified,56-65,Morning Peak,Repeat
V20250120000109,65,108,109,108,386,2025-01-20,16:54:38,Mobile Usage,4800,High,No,State Highway,68,Foggy,Lane 1,Dispatched,26-35,Mid Day,Repeat
V20250316000110,82,109,110,109,441,2025-03-16,08:10:14,No Seatbelt,500,Low,No,City Road,47,Clear,Lane 1,Under Review,36-45,Morning Peak,First Time
V20240331000111,70,110,111,110,91,2024-03-31,15:23:52,Overspeeding,2000,Medium,Yes,Expressway,108,Foggy,Multiple Lanes,Active,36-45,Mid Day,Repeat
V20241103000112,32,111,112,111,308,2024-11-03,08:17:54,Signal Jumping,1000,Medium,No,City Road,39,Cloudy,Lane 3,Dispatched,26-35,Morning Peak,Repeat
V20250203000113,48,112,113,112,400,2025-02-03,16:33:34,Triple Riding,700,Medium,No,Local Street,15,Cloudy,Multiple Lanes,Active,46-55,Mid Day,Repeat
V20250620000114,81,113,114,113,537,2025-06-20,20:44:33,Overspeeding,1400,High,No,City Road,46,Clear,Lane 2,Dispatched,18-25,Evening,Repeat
V20250328000115,94,114,115,114,453,2025-03-28,19:54:58,Mobile Usage,3000,Medium,No,National Highway,73,Foggy,Multiple Lanes,Under Review,26-35,Evening Peak,First Time
V20241223000116,88,115,116,115,358,2024-12-23,11:13:38,No Helmet,600,Medium,Yes,City Road,48,Clear,Lane 3,Active,36-45,Mid Day,First Time
V20240919000117,70,116,117,116,263,2024-09-19,17:46:41,Wrong Parking,300,Low,No,Local Street,36,Foggy,Lane 3,Dispatched,46-55,Evening Peak,First Time
V20240707000118,99,61,118,117,189,2024-07-07,20:58:23,No Helmet,500,Medium,No,Local Street,34,Cloudy,Lane 1,Dispatched,26-35,Evening,Repeat
V20250728000119,32,117,119,118,575,2025-07-28,13:16:39,Overspeeding,2000,High,No,Local Street,35,Clear,Lane 1,Notified,26-35,Mid Day,Repeat
V20250717000120,17,118,120,119,564,2025-07-17,19:31:35,Overspeeding,700,Medium,Yes,City Road,45,Foggy,Lane 1,Active,18-25,Evening Peak,First Time
V20240719000121,106,119,121,120,201,2024-07-19,01:16:11,Overspeeding,700,High,No,City Road,68,Clear,Lane 3,Active,65+,Late Night,Repeat
V20251215000122,1,120,12,121,715,2025-12-15,13:52:08,Drunk Driving,9500,Critical,No,Expressway,108,Foggy,Shoulder,Dispatched,26-35,Mid Day,Repeat
V20250202000123,83,121,122,122,399,2025-02-02,10:43:24,Wrong Parking,300,Low,No,City Road,27,Stormy,Lane 1,Dispatched,26-35,Morning Peak,First Time
V20241126000124,97,122,123,123,331,2024-11-26,17:13:25,Wrong Side Driving,1600,High,No,City Road,51,Clear,Lane 2,Notified,18-25,Evening Peak,Habitual
V20250213000125,73,123,124,124,410,2025-02-13,18:21:48,Triple Riding,600,Medium,No,Local Street,20,Stormy,Lane 1,Active,26-35,Evening Peak,First Time
V20250203000126,52,124,125,125,400,2025-02-03,14:20:53,Overspeeding,1900,Medium,No,State Highway,92,Clear,Lane 1,Notified,36-45,Mid Day,First Time
V20250701000127,14,125,126,126,548,2025-07-01,07:53:43,Overspeeding,1300,High,No,Expressway,174,Clear,Lane 1,Dispatched,46-55,Early Morning,Repeat
V20250430000128,67,126,127,127,486,2025-04-30,08:51:19,Overspeeding,600,High,No,National Highway,112,Clear,Shoulder,Dispatched,26-35,Morning Peak,First Time
V20250310000129,29,127,128,128,435,2025-03-10,00:08:45,No Helmet,900,Medium,No,Local Street,18,Clear,Lane 1,Active,18-25,Late Night,Repeat
V20241207000130,3,128,129,129,342,2024-12-07,03:01:10,Signal Jumping,600,Medium,No,City Road,55,Stormy,Lane 2,Notified,26-35,Late Night,Repeat
V20241121000131,99,129,130,130,326,2024-11-21,12:42:22,No Helmet,700,Medium,No,City Road,33,Clear,Lane 2,Under Review,36-45,Mid Day,First Time
V20240311000132,47,130,131,131,71,2024-03-11,18:26:10,No Helmet,700,Medium,No,City Road,48,Clear,Lane 3,Active,18-25,Evening Peak,Habitual
V20251002000133,36,57,18,132,641,2025-10-02,15:14:25,Dangerous Driving,2100,High,Yes,City Road,52,Clear,Lane 2,Notified,36-45,Mid Day,Repeat
V20240117000134,14,131,132,133,17,2024-01-17,11:13:10,No Helmet,900,Medium,No,City Road,50,Clear,Lane 2,Active,36-45,Mid Day,First Time
V20241026000135,43,132,133,134,300,2024-10-26,20:26:08,Overspeeding,1500,Medium,No,City Road,50,Clear,Multiple Lanes,Active,26-35,Evening,Habitual
V20240721000136,10,133,134,135,203,2024-07-21,16:53:57,No License,3200,High,No,Expressway,110,Clear,Lane 3,Dispatched,65+,Mid Day,First Time
V20240525000137,59,134,135,136,146,2024-05-25,16:49:50,No Helmet,600,Medium,Yes,City Road,41,Clear,Shoulder,Dispatched,18-25,Mid Day,First Time
V20251011000138,83,135,136,137,650,2025-10-11,17:28:21,Triple Riding,1000,Medium,No,State Highway,80,Clear,Lane 3,Notified,26-35,Evening Peak,First Time
V20250220000139,59,136,137,138,417,2025-02-20,19:00:51,No Helmet,600,Medium,No,City Road,43,Clear,Lane 2,Active,26-35,Evening Peak,Repeat
V20250530000140,50,137,138,139,516,2025-05-30,17:12:01,Signal Jumping,500,Medium,No,City Road,50,Clear,Lane 2,Under Review,18-25,Evening Peak,First Time
V20241002000141,99,138,139,140,276,2024-10-02,10:59:18,No License,2800,High,No,Expressway,113,Rainy,Lane 3,Active,56-65,Morning Peak,Repeat
V20241117000142,20,139,140,141,322,2024-11-17,19:35:33,Overspeeding,1700,High,No,City Road,34,Cloudy,Lane 1,Active,18-25,Evening Peak,Repeat
V20250902000143,26,140,141,142,611,2025-09-02,18:14:17,No Helmet,800,Medium,No,City Road,34,Foggy,Lane 3,Active,18-25,Evening Peak,First Time
V20251231000144,91,141,142,143,731,2025-12-31,09:40:05,No Helmet,600,Medium,No,Local Street,29,Clear,Lane 2,Active,26-35,Morning Peak,First Time
V20250103000145,98,142,143,144,369,2025-01-03,19:35:57,Overspeeding,1900,High,No,Local Street,44,Rainy,Shoulder,Active,36-45,Evening Peak,First Time
V20250112000146,23,143,144,145,378,2025-01-12,23:49:06,Drunk Driving,7600,Critical,No,National Highway,85,Clear,Lane 1,Dispatched,18-25,Late Night,Repeat
V20250730000147,66,144,145,146,577,2025-07-30,09:57:24,Red Light Violation,600,Medium,No,State Highway,59,Clear,Lane 2,Dispatched,18-25,Morning Peak,Habitual
V20240506000148,43,145,146,147,127,2024-05-06,09:33:01,Signal Jumping,600,Medium,No,City Road,53,Clear,Lane 1,Active,26-35,Morning Peak,First Time
V20241207000149,30,146,147,148,342,2024-12-07,09:06:08,Signal Jumping,600,Medium,No,City Road,35,Clear,Lane 1,Under Review,26-35,Morning Peak,First Time
V20251221000150,22,147,148,149,721,2025-12-21,16:52:32,Wrong Parking,400,Low,No,Local Street,21,Stormy,Lane 2,Notified,18-25,Mid Day,Repeat
V20250809000151,25,148,149,150,587,2025-08-09,23:20:00,Overspeeding,600,High,No,City Road,47,Foggy,Lane 2,Under Review,36-45,Late Night,Repeat
V20240107000152,30,149,150,151,7,2024-01-07,09:52:14,Drunk Driving,8000,Critical,No,National Highway,65,Clear,Lane 3,Dispatched,18-25,Morning Peak,Repeat
V20240104000153,20,150,151,152,4,2024-01-04,09:47:28,Triple Riding,500,Medium,Yes,Local Street,34,Foggy,Lane 1,Active,36-45,Morning Peak,Habitual
V20240826000154,94,151,152,153,239,2024-08-26,13:51:09,Signal Jumping,800,Medium,No,Local Street,36,Clear,Lane 2,Active,26-35,Mid Day,First Time
V20251003000155,40,152,153,154,642,2025-10-03,11:06:48,Mobile Usage,1700,High,No,National Highway,73,Clear,Lane 3,Under Review,36-45,Mid Day,First Time
V20250508000156,40,153,154,155,494,2025-05-08,17:13:12,Wrong Side Driving,1200,High,No,City Road,41,Stormy,Lane 3,Dispatched,26-35,Evening Peak,Habitual
V20250417000157,69,154,155,156,473,2025-04-17,17:47:22,Signal Jumping,900,Medium,No,Expressway,90,Rainy,Lane 1,Under Review,26-35,Evening Peak,First Time
V20240302000158,26,155,156,157,62,2024-03-02,08:04:54,Signal Jumping,800,Medium,No,National Highway,60,Stormy,Lane 1,Under Review,18-25,Morning Peak,First Time
V20250925000159,73,156,157,158,634,2025-09-25,22:42:45,Red Light Violation,500,Medium,No,City Road,55,Cloudy,Shoulder,Under Review,26-35,Evening,First Time
V20250322000160,75,157,158,159,447,2025-03-22,11:00:47,Overspeeding,1000,Medium,No,City Road,54,Clear,Lane 1,Dispatched,26-35,Mid Day,Repeat
V20251013000161,26,72,159,160,652,2025-10-13,23:19:13,No License,4100,High,No,National Highway,88,Clear,Lane 2,Active,18-25,Late Night,Repeat
V20240109000162,70,158,160,161,9,2024-01-09,19:08:36,No Helmet,900,Medium,No,City Road,41,Clear,Multiple Lanes,Active,36-45,Evening Peak,Repeat
V20240330000163,46,159,161,162,90,2024-03-30,17:29:58,Overspeeding,1600,High,No,Local Street,34,Cloudy,Lane 1,Dispatched,18-25,Evening Peak,Repeat
V20250923000164,99,160,162,163,632,2025-09-23,09:52:59,Wrong Side Driving,600,High,No,City Road,52,Cloudy,Lane 1,Under Review,26-35,Morning Peak,First Time
V20241006000165,51,161,163,164,280,2024-10-06,11:32:47,Drunk Driving,9600,Critical,No,City Road,42,Foggy,Lane 1,Active,36-45,Mid Day,First Time
V20250911000166,19,162,164,165,620,2025-09-11,08:53:02,Wrong Side Driving,1400,High,No,Local Street,26,Clear,Lane 1,Dispatched,26-35,Morning Peak,Repeat
V20240723000167,75,163,165,166,205,2024-07-23,13:42:32,Signal Jumping,500,Medium,No,Local Street,34,Clear,Multiple Lanes,Notified,18-25,Mid Day,First Time
V20250523000168,97,164,166,167,509,2025-05-23,19:24:54,Signal Jumping,800,Medium,No,Local Street,39,Foggy,Multiple Lanes,Dispatched,18-25,Evening Peak,Repeat
