vehicle_surrogate_key,vehicle_key,vehicle_type,vehicle_brand,vehicle_age,fuel_type
141,VEH004774,Scooter,Vespa,1,Petrol
142,VEH000379,Car,Toyota,12,Diesel
143,VEH007607,Scooter,Vespa,13,Electric
144,VEH003806,Truck,Tata,5,Diesel
145,VEH003772,Bike,KTM,5,Petrol
146,VEH007417,Car,Mahindra,1,Petrol
147,VEH007562,Bike,TVS,4,Petrol
148,VEH003582,Bike,Royal Enfield,5,Petrol
149,VEH003754,Scooter,Vespa,4,Electric
150,VEH003018,Bike,Honda,2,Petrol
151,VEH000265,Bike,Suzuki,4,Petrol
152,VEH005921,Bike,Yamaha,11,Petrol
153,VEH002469,Car,Mahindra,4,Diesel
154,VEH003508,Bike,Yamaha,16,Electric
155,VEH005386,Auto Rickshaw,TVS,10,Petrol
156,VEH006042,Car,Volkswagen,1,Petrol
157,VEH001983,Bike,Honda,2,Petrol
158,VEH004447,Auto Rickshaw,TVS,7,CNG
159,VEH006941,Scooter,Hero,9,Petrol
160,VEH005127,Car,Volkswagen,8,Diesel
161,VEH006983,Bike,Suzuki,4,Petrol
162,VEH003140,Van,Force,2,Diesel
163,VEH005664,Car,Toyota,17,Petrol
164,VEH002708,Bike,Yamaha,5,Petrol
165,VEH000954,Bike,Suzuki,3,Petrol
166,VEH005452,Bike,KTM,6,Petrol
167,VEH006764,Bike,Bajaj,20,Petrol
168,VEH005169,Auto Rickshaw,TVS,10,CNG
169,VEH006963,Scooter,Bajaj,13,Petrol
170,VEH004804,Bike,Yamaha,3,Electric
171,VEH004107,Bike,Honda,12,Petrol
172,VEH002977,Bike,Honda,2,Petrol
173,VEH002944,Bus,Eicher,8,Diesel
174,VEH004772,Car,Volkswagen,10,Electric
175,VEH004621,Scooter,Suzuki,2,Petrol
176,VEH003565,Scooter,TVS,1,Petrol
177,VEH006999,Bike,KTM,2,Petrol
178,VEH003918,Scooter,Bajaj,5,Petrol
179,VEH002549,Bus,Ashok Leyland,3,Diesel
180,VEH006771,Car,Volkswagen,1,CNG
181,VEH004787,Scooter,Honda,5,Petrol
182,VEH003035,Van,Force,1,Diesel
183,VEH007092,Auto Rickshaw,TVS,4,Diesel
184,VEH005733,Auto Rickshaw,Bajaj,1,CNG
185,VEH001489,Car,Maruti Suzuki,0,CNG
186,VEH001169,Bike,Bajaj,1,Petrol
187,VEH000232,Truck,BharatBenz,4,Diesel
188,VEH006659,Car,Mahindra,5,Electric
189,VEH000152,Car,Tata,1,Diesel
190,VEH007137,Truck,Tata,2,Diesel
191,VEH002055,Car,Maruti Suzuki,1,Petrol
192,VEH006809,Bike,Suzuki,13,Petrol
193,VEH004957,Scooter,Honda,16,Petrol
194,VEH007798,Car,Toyota,5,Electric
195,VEH007763,Bike,KTM,1,Petrol
196,VEH001466,Bike,Hero,0,Petrol
197,VEH002964,Bus,BharatBenz,5,Diesel
198,VEH005334,Car,Kia,8,CNG
199,VEH005684,Car,Kia,1,CNG
200,VEH007879,Bike,Hero,7,Petrol
201,VEH002502,Bike,Royal Enfield,8,Petrol
202,VEH000027,Bike,Honda,16,Petrol
203,VEH003667,Bike,Honda,9,Petrol
204,VEH003735,Car,Mahindra,5,Electric
205,VEH000610,Bike,Yamaha,4,Petrol
206,VEH007437,Car,Mahindra,2,Petrol
207,VEH006838,Car,Toyota,6,Diesel
208,VEH001444,Auto Rickshaw,Bajaj,9,CNG
209,VEH003476,Scooter,Vespa,4,Electric
210,VEH003367,Car,Kia,6,Petrol
211,VEH005770,Auto Rickshaw,Piaggio,0,CNG
212,VEH007007,Truck,Mahindra,0,Diesel
213,VEH001408,Scooter,Honda,4,Petrol
214,VEH004039,Auto Rickshaw,Bajaj,4,CNG
215,VEH007987,Scooter,Honda,9,Petrol
216,VEH006547,Car,Honda,3,CNG
217,VEH001336,Bike,Bajaj,5,Petrol
218,VEH001077,Car,Volkswagen,19,Electric
219,VEH001019,Car,Maruti Suzuki,5,Diesel
220,VEH000609,Car,Maruti Suzuki,2,Electric
221,VEH002594,Auto Rickshaw,Bajaj,3,Diesel
222,VEH002581,Auto Rickshaw,Piaggio,10,Diesel
223,VEH006171,Car,Mahindra,14,Petrol
224,VEH003886,Car,Mahindra,3,Petrol
225,VEH002746,Scooter,TVS,3,Petrol
226,VEH002251,Car,Tata,0,Petrol
227,VEH000417,Bike,Yamaha,0,Petrol
228,VEH005383,Bike,Bajaj,14,Electric
229,VEH007486,Scooter,Suzuki,3,Petrol
230,VEH007181,Bike,KTM,0,Petrol
231,VEH005866,Scooter,Hero,7,Petrol
232,VEH001373,Truck,Mahindra,9,Diesel
233,VEH000866,Bike,Honda,9,Petrol
234,VEH002115,Car,Toyota,0,Diesel
235,VEH007252,Bike,KTM,12,Petrol
236,VEH001723,Scooter,Bajaj,2,Petrol
237,VEH000112,Bike,KTM,2,Petrol
238,VEH001558,Bike,Bajaj,10,Petrol
239,VEH006546,Car,Toyota,1,Petrol
240,VEH005215,Auto Rickshaw,Bajaj,0,Petrol
241,VEH002266,Car,Honda,13,Petrol
242,VEH004731,Car,Maruti Suzuki,4,Petrol
243,VEH004435,Scooter,Bajaj,4,Petrol
244,VEH005635,Bike,Royal Enfield,15,Petrol
245,VEH007940,Auto Rickshaw,TVS,5,CNG
246,VEH001658,Bike,Bajaj,0,Electric
247,VEH006137,Bike,Yamaha,3,Electric
248,VEH003154,Auto Rickshaw,Bajaj,2,CNG
249,VEH007114,Van,Force,4,Diesel
250,VEH003726,Auto Rickshaw,Bajaj,4,CNG
251,VEH007978,Bike,Hero,0,Petrol
252,VEH006231,Bike,Royal Enfield,2,Petrol
253,VEH003604,Bike,Suzuki,4,Petrol
254,VEH000546,Bike,TVS,7,Petrol
255,VEH001526,Car,Hyundai,1,CNG
256,VEH002757,Bus,Eicher,2,Diesel
257,VEH005414,Car,Honda,3,Petrol
258,VEH007326,Car,Honda,0,CNG
259,VEH001653,Scooter,TVS,3,Petrol
260,VEH003437,Auto Rickshaw,Bajaj,3,CNG
261,VEH000796,Truck,Eicher,5,Diesel
262,VEH006602,Car,Kia,1,Diesel
263,VEH000908,Bike,Yamaha,6,Petrol
264,VEH007840,Bike,Suzuki,9,Petrol
265,VEH000335,Auto Rickshaw,TVS,6,CNG
266,VEH007994,Bike,TVS,0,Electric
267,VEH002470,Bike,Honda,6,Petrol
268,VEH002657,Car,Hyundai,4,Petrol
269,VEH003310,Car,Maruti Suzuki,0,Petrol
270,VEH007459,Bike,KTM,1,Petrol
271,VEH001568,Scooter,Hero,6,Petrol
272,VEH006193,Bike,Yamaha,10,Petrol
273,VEH006790,Car,Maruti Suzuki,6,Electric
274,VEH001191,Car,Toyota,7,Diesel
275,VEH001898,Scooter,Vespa,0,Electric
276,VEH005833,Car,Volkswagen,18,Electric
277,VEH003243,Car,Toyota,12,Petrol
278,VEH003814,Bike,TVS,0,Petrol
279,VEH004907,Car,Honda,14,Diesel
280,VEH005964,Car,Tata,8,Petrol
281,VEH000995,Bike,Hero,11,Petrol
282,VEH000787,Truck,BharatBenz,14,Diesel
283,VEH002997,Bus,BharatBenz,19,CNG
284,VEH007542,Car,Honda,8,Petrol
285,VEH000832,Car,Toyota,3,CNG
286,VEH003339,Car,Volkswagen,9,Petrol
287,VEH001517,Car,Maruti Suzuki,1,Petrol
288,VEH007912,Auto Rickshaw,Bajaj,3,Petrol
289,VEH001448,Car,Honda,5,Petrol
290,VEH006746,Truck,Tata,2,Diesel
291,VEH004882,Bike,TVS,4,Electric
292,VEH002887,Scooter,Honda,5,Petrol
293,VEH005108,Car,Tata,10,Diesel
294,VEH001661,Scooter,Bajaj,8,Petrol
295,VEH002146,Bike,TVS,6,Petrol
296,VEH001217,Car,Hyundai,18,Petrol
297,VEH001776,Bike,Yamaha,1,Petrol
298,VEH007212,Bike,Royal Enfield,15,Electric
299,VEH004592,Auto Rickshaw,Bajaj,2,Petrol
300,VEH006494,Bike,Honda,2,Petrol
301,VEH001706,Bike,Hero,8,Petrol
302,VEH000917,Auto Rickshaw,Piaggio,3,Diesel
303,VEH001784,Scooter,Hero,10,Petrol
304,VEH005206,Scooter,Hero,9,Petrol
305,VEH003866,Car,Hyundai,1,Diesel
306,VEH007165,Bike,KTM,9,Petrol
307,VEH003081,Auto Rickshaw,Piaggio,13,CNG
308,VEH006428,Bike,Bajaj,5,Petrol
309,VEH000515,Scooter,Bajaj,9,Petrol
310,VEH000868,Bike,TVS,8,Petrol
311,VEH003030,Bus,Eicher,0,Diesel
312,VEH005686,Bike,TVS,9,Petrol
313,VEH003377,Auto Rickshaw,Bajaj,0,Diesel
314,VEH005390,Bike,Honda,2,Petrol
315,VEH001939,Car,Mahindra,19,Petrol
316,VEH005493,Bike,KTM,1,Electric
317,VEH006759,Scooter,Hero,4,Electric
318,VEH005487,Scooter,Hero,2,Petrol
319,VEH004115,Scooter,Vespa,0,Petrol
320,VEH001065,Bike,TVS,13,Petrol
321,VEH005639,Scooter,Vespa,2,Petrol
322,VEH006985,Bike,Hero,0,Petrol
323,VEH007538,Car,Kia,0,Diesel
324,VEH002040,Bike,KTM,3,Petrol
325,VEH004651,Car,Honda,14,Electric
326,VEH004285,Scooter,TVS,6,Petrol
327,VEH005178,Auto Rickshaw,Bajaj,9,CNG
328,VEH001520,Bike,Hero,7,Petrol
329,VEH005172,Scooter,Honda,10,Petrol
330,VEH000758,Car,Toyota,6,Petrol
331,VEH002710,Car,Mahindra,5,Petrol
332,VEH001694,Auto Rickshaw,Bajaj,6,Diesel
333,VEH007597,Car,Honda,4,Petrol
334,VEH004499,Auto Rickshaw,Piaggio,1,Petrol
335,VEH007888,Bike,TVS,5,Petrol
336,VEH006464,Scooter,Vespa,6,Petrol
337,VEH001747,Scooter,Suzuki,5,Petrol
338,VEH005355,Car,Mahindra,9,Diesel
339,VEH007981,Bike,Hero,5,Petrol
340,VEH000305,Car,Tata,5,Diesel
341,VEH001884,Bike,Honda,0,Petrol
342,VEH001679,Scooter,Hero,3,Petrol
343,VEH004895,Bike,Royal Enfield,17,Petrol
344,VEH006314,Bus,Ashok Leyland,3,Diesel
345,VEH002587,Bike,Honda,6,Petrol
346,VEH007592,Bike,Suzuki,3,Petrol
347,VEH006788,Auto Rickshaw,TVS,5,CNG
348,VEH002803,Auto Rickshaw,Bajaj,4,Petrol
349,VEH005531,Car,Toyota,1,Petrol
350,VEH003734,Truck,Eicher,1,Diesel
351,VEH007726,Bike,Suzuki,7,Petrol
352,VEH005895,Bike,TVS,7,Petrol
353,VEH005062,Bike,Royal Enfield,6,Electric
354,VEH002147,Bike,Hero,3,Electric
355,VEH005453,Truck,Ashok Leyland,17,Diesel
356,VEH002611,Bike,Royal Enfield,5,Petrol
357,VEH005179,Bike,Royal Enfield,2,Petrol
358,VEH006916,Bike,Yamaha,6,Electric
359,VEH007125,Bike,TVS,0,Petrol
360,VEH002331,Auto Rickshaw,Bajaj,0,Petrol
361,VEH005913,Scooter,TVS,2,Petrol
362,VEH007957,Scooter,Honda,8,Petrol
363,VEH006844,Bike,Hero,3,Petrol
364,VEH003063,Bike,Honda,8,Electric
365,VEH007718,Car,Hyundai,2,Diesel
366,VEH000655,Bike,Royal Enfield,2,Petrol
367,VEH006539,Scooter,Hero,1,Petrol
368,VEH003288,Bike,Hero,1,Petrol
369,VEH006678,Bike,Suzuki,11,Petrol
370,VEH000439,Van,Maruti Suzuki,2,Diesel
371,VEH001795,Bike,Honda,3,Petrol
372,VEH007029,Car,Toyota,5,Electric
373,VEH002037,Bike,KTM,2,Petrol
374,VEH004930,Auto Rickshaw,TVS,0,CNG
375,VEH002518,Car,Honda,20,Diesel
376,VEH002225,Scooter,Vespa,6,Petrol
377,VEH004121,Auto Rickshaw,TVS,1,CNG
378,VEH000857,Auto Rickshaw,Bajaj,3,Diesel
379,VEH005671,Car,Kia,1,Petrol
380,VEH005625,Auto Rickshaw,TVS,2,Petrol
381,VEH000634,Truck,Tata,6,CNG
382,VEH006995,Bike,Honda,4,Petrol
383,VEH005431,Car,Tata,2,Petrol
384,VEH006258,Auto Rickshaw,TVS,8,CNG
385,VEH005054,Car,Toyota,2,Diesel
386,VEH006002,Bike,Suzuki,8,Petrol
387,VEH002195,Bike,Suzuki,9,Petrol
388,VEH001386,Car,Mahindra,15,Petrol
389,VEH006773,Scooter,TVS,2,Petrol
390,VEH000632,Scooter,Hero,4,Petrol
391,VEH007227,Bike,Bajaj,4,Petrol
392,VEH001900,Bike,TVS,4,Petrol
393,VEH006165,Auto Rickshaw,TVS,19,Petrol
394,VEH001617,Car,Mahindra,4,CNG
395,VEH001549,Bike,Honda,9,Petrol
396,VEH007241,Car,Kia,0,Petrol
397,VEH006884,Car,Tata,10,Petrol
398,VEH006308,Bike,Bajaj,3,Petrol
399,VEH002200,Bike,Hero,0,Petrol
400,VEH007927,Scooter,Bajaj,5,Petrol
401,VEH006315,Bike,KTM,7,Petrol
402,VEH005633,Car,Volkswagen,9,Diesel
403,VEH000081,Car,Tata,5,Petrol
404,VEH004372,Car,Kia,2,Diesel
405,VEH003721,Auto Rickshaw,Bajaj,3,CNG
406,VEH000729,Van,Mahindra,9,Diesel
407,VEH003072,Car,Maruti Suzuki,2,CNG
408,VEH002011,Bike,KTM,8,Petrol
409,VEH005525,Scooter,TVS,1,Petrol
410,VEH005429,Auto Rickshaw,Piaggio,12,CNG
411,VEH007769,Bus,BharatBenz,8,Diesel
412,VEH005655,Bike,KTM,3,Petrol
413,VEH002507,Car,Toyota,6,CNG
414,VEH002359,Bike,Royal Enfield,7,Electric
415,VEH003320,Car,Volkswagen,9,Diesel
416,VEH007415,Bike,Yamaha,7,Petrol
417,VEH005495,Truck,Tata,5,Diesel
418,VEH007910,Bike,Royal Enfield,0,Petrol
419,VEH005818,Bike,Bajaj,5,Petrol
420,VEH007909,Truck,Eicher,5,Diesel
421,VEH003722,Car,Kia,8,Petrol
422,VEH001210,Bike,Honda,6,Petrol
423,VEH004517,Car,Maruti Suzuki,12,Electric
424,VEH006381,Bike,KTM,3,Petrol
425,VEH007135,Scooter,Bajaj,5,Petrol
426,VEH007449,Bike,Honda,14,Petrol
427,VEH006961,Auto Rickshaw,Bajaj,1,CNG
428,VEH004133,Auto Rickshaw,TVS,5,CNG
429,VEH006946,Bike,TVS,2,Petrol
430,VEH004099,Scooter,Vespa,15,Electric
431,VEH007937,Bike,KTM,10,Petrol
432,VEH001304,Bike,TVS,0,Electric
433,VEH006989,Car,Hyundai,3,Petrol
434,VEH005349,Truck,Tata,3,Diesel
435,VEH002540,Scooter,Vespa,0,Petrol
436,VEH001237,Bike,Yamaha,10,Petrol
437,VEH002856,Scooter,Vespa,14,Petrol
438,VEH004176,Car,Kia,5,Petrol
439,VEH007015,Auto Rickshaw,Bajaj,8,Diesel
440,VEH001244,Auto Rickshaw,Bajaj,1,CNG
441,VEH000569,Car,Volkswagen,4,Diesel
442,VEH006634,Bus,BharatBenz,17,Diesel
443,VEH005928,Scooter,Honda,1,Petrol
444,VEH002952,Bike,Hero,18,Petrol
445,VEH001680,Scooter,Suzuki,2,Petrol
446,VEH006103,Auto Rickshaw,Piaggio,3,Diesel
447,VEH001631,Auto Rickshaw,TVS,5,Diesel
448,VEH004432,Auto Rickshaw,Bajaj,2,CNG
449,VEH004312,Bike,TVS,9,Petrol
450,VEH006744,Van,Force,17,Petrol
451,VEH001634,Bike,TVS,1,Petrol
452,VEH001366,Bike,Bajaj,10,Electric
453,VEH007526,Car,Toyota,5,Electric
454,VEH001662,Bike,KTM,11,Petrol
455,VEH004160,Car,Volkswagen,9,Petrol
456,VEH003192,Van,Force,9,Diesel
457,VEH001355,Auto Rickshaw,Piaggio,2,Diesel
458,VEH002769,Scooter,TVS,14,Electric
459,VEH004169,Scooter,Vespa,1,Petrol
460,VEH000235,Scooter,Vespa,5,Petrol
461,VEH007593,Bus,BharatBenz,0,CNG
462,VEH005651,Car,Volkswagen,3,Petrol
463,VEH000871,Bike,Suzuki,4,Petrol
464,VEH001922,Car,Toyota,2,CNG
465,VEH003481,Scooter,Honda,2,Petrol
466,VEH006648,Car,Maruti Suzuki,0,Electric
467,VEH001887,Car,Kia,4,Petrol
468,VEH000915,Bike,Bajaj,10,Petrol
469,VEH002680,Bike,Bajaj,3,Petrol
470,VEH001126,Bike,TVS,8,Petrol
471,VEH002356,Bike,TVS,4,Petrol
472,VEH006097,Bike,Honda,7,Petrol
473,VEH003150,Bike,Honda,5,Petrol
474,VEH001603,Bike,Bajaj,1,Electric
475,VEH000495,Bike,TVS,7,Petrol
476,VEH002216,Bike,Yamaha,10,Petrol
477,VEH002418,Scooter,Hero,0,Electric
478,VEH001175,Bike,KTM,4,Petrol
479,VEH005460,Auto Rickshaw,Bajaj,10,CNG
480,VEH006345,Car,Tata,6,CNG
481,VEH005417,Bike,Bajaj,4,Petrol
482,VEH003211,Car,Toyota,2,Electric
483,VEH007623,Bike,Hero,4,Petrol
484,VEH006313,Bike,Yamaha,3,Petrol
485,VEH001422,Car,Maruti Suzuki,5,Diesel
486,VEH002882,Auto Rickshaw,Piaggio,1,Petrol
487,VEH006511,Bike,Bajaj,9,Petrol
488,VEH000443,Auto Rickshaw,TVS,4,Petrol
489,VEH004366,Car,Maruti Suzuki,0,Electric
490,VEH007878,Auto Rickshaw,TVS,14,CNG
491,VEH002918,Bike,Yamaha,6,Petrol
492,VEH003411,Car,Maruti Suzuki,2,Electric
493,VEH007853,Bike,Hero,6,Petrol
494,VEH001760,Auto Rickshaw,TVS,7,CNG
495,VEH007102,Bike,Hero,15,Petrol
496,VEH003205,Bike,Bajaj,16,Petrol
497,VEH004234,Bike,Suzuki,0,Electric
498,VEH000210,Bike,Royal Enfield,0,Petrol
499,VEH004546,Truck,Tata,1,Diesel
500,VEH003791,Scooter,TVS,3,Petrol
501,VEH001916,Bike,Yamaha,8,Petrol
502,VEH006915,Bike,Suzuki,4,Petrol
503,VEH004811,Scooter,Vespa,20,Petrol
504,VEH000003,Scooter,Vespa,5,Petrol
505,VEH005220,Bike,Suzuki,13,Petrol
506,VEH005590,Bike,Yamaha,6,Petrol
507,VEH001095,Car,Honda,14,CNG
508,VEH002342,Bike,KTM,7,Petrol
509,VEH002424,Bike,Yamaha,9,Petrol
510,VEH000563,Scooter,Suzuki,10,Petrol
511,VEH003893,Car,Volkswagen,7,Petrol
512,VEH006327,Scooter,Bajaj,3,Petrol
513,VEH005139,Bike,TVS,0,Petrol
514,VEH000877,Bike,Hero,1,Petrol
515,VEH002752,Bike,TVS,15,Petrol
516,VEH004633,Bike,Honda,9,Electric
517,VEH001351,Bike,Yamaha,2,Petrol
518,VEH006394,Bike,Bajaj,2,Electric
519,VEH000951,Bike,Royal Enfield,7,Electric
520,VEH007090,Scooter,Bajaj,4,Petrol
521,VEH002834,Scooter,Honda,1,Petrol
522,VEH002669,Bike,Bajaj,4,Petrol
523,VEH005849,Bike,Bajaj,2,Petrol
524,VEH007743,Auto Rickshaw,TVS,2,CNG
525,VEH006724,Auto Rickshaw,Bajaj,3,CNG
526,VEH002274,Car,Toyota,4,Diesel
527,VEH000672,Bike,Suzuki,13,Petrol
528,VEH007514,Bike,Honda,0,Petrol
529,VEH007359,Car,Toyota,12,Electric
530,VEH005016,Scooter,Honda,1,Petrol
531,VEH001158,Scooter,Suzuki,5,Petrol
532,VEH004276,Car,Toyota,5,Petrol
533,VEH000613,Car,Hyundai,5,Electric
534,VEH007026,Car,Tata,0,Diesel
535,VEH001465,Scooter,Vespa,7,Petrol
536,VEH003824,Bus,Eicher,7,Diesel
537,VEH002318,Auto Rickshaw,TVS,2,Diesel
538,VEH004390,Scooter,Vespa,2,Petrol
539,VEH005695,Bike,Bajaj,12,Petrol
540,VEH004549,Auto Rickshaw,Piaggio,1,Diesel
541,VEH004226,Car,Mahindra,2,Diesel
542,VEH000064,Car,Tata,5,Petrol
543,VEH007380,Scooter,TVS,4,Petrol
544,VEH006646,Bike,KTM,9,Petrol
545,VEH000902,Truck,BharatBenz,10,CNG
546,VEH002923,Bike,Royal Enfield,0,Petrol
547,VEH003055,Scooter,Vespa,18,Petrol
548,VEH006554,Bike,Honda,3,Petrol
549,VEH004142,Scooter,Bajaj,0,Electric
550,VEH004178,Car,Honda,0,Diesel
551,VEH005004,Bike,KTM,0,Electric
552,VEH000188,Car,Honda,4,CNG
553,VEH006429,Car,Kia,5,Petrol
554,VEH005416,Car,Tata,2,Petrol
555,VEH005889,Truck,Mahindra,5,Diesel
556,VEH007907,Car,Maruti Suzuki,9,Petrol
557,VEH006938,Truck,Eicher,0,Diesel
558,VEH007122,Scooter,Hero,3,Electric
559,VEH000698,Bike,Hero,5,Petrol
560,VEH004095,Scooter,Vespa,13,Petrol
561,VEH000733,Scooter,Suzuki,2,Petrol
562,VEH000589,Bike,KTM,5,Petrol
563,VEH003751,Bus,Ashok Leyland,5,Diesel
