city_surrogate_key,city_key,city_name,state_name,latitude,longitude,population_category,traffic_density_level
85,C085,Jhansi,Uttar Pradesh,25.4484,78.5685,Tier 2,Low
86,C086,Saharanpur,Uttar Pradesh,29.9695,77.545,Tier 2,Low
87,C087,Mathura,Uttar Pradesh,27.4924,77.6737,Tier 2,Medium
88,C088,Howrah,West Bengal,22.576,88.2634,Tier 1,High
89,C089,Durgapur,West Bengal,23.5204,87.3119,Tier 2,Medium
90,C090,Siliguri,West Bengal,26.7271,88.3953,Tier 2,Medium
91,C091,Ujjain,Madhya Pradesh,23.1793,75.7684,Tier 2,Medium
92,C092,Sagar,Madhya Pradesh,23.8388,78.7378,Tier 2,Low
93,C093,Gaya,Bihar,24.7955,84.9999,Tier 2,Low
94,C094,Muzaffarpur,Bihar,26.122,85.391,Tier 2,Medium
95,C095,Jamshedpur,Jharkhand,22.8046,86.2029,Tier 1,Medium
96,C096,Dhanbad,Jharkhand,23.7957,86.4304,Tier 2,Medium
97,C097,Cuttack,Odisha,20.4625,85.883,Tier 2,Medium
98,C098,Rourkela,Odisha,22.2587,84.9006,Tier 2,Low
99,C099,Kozhikode,Kerala,11.2588,75.7804,Tier 1,Medium
100,C100,Thrissur,Kerala,10.5276,76.2144,Tier 2,Medium
101,C101,Jalandhar,Punjab,31.326,75.5762,Tier 1,Medium
102,C102,Patiala,Punjab,30.3398,76.3859,Tier 2,Low
103,C103,Panipat,Haryana,29.3909,76.9635,Tier 2,Medium
104,C104,Ambala,Haryana,30.3782,76.7767,Tier 2,Low
105,C105,Dibrugarh,Assam,27.4489,94.9118,Tier 2,Low
106,C106,Silchar,Assam,24.8333,92.7789,Tier 2,Low
107,C107,Karimnagar,Telangana,18.436,79.132,Tier 2,Low
108,C108,Nizamabad,Telangana,18.6725,78.0941,Tier 2,Low
109,C109,Tirupati,Andhra Pradesh,13.6288,79.4192,Tier 2,Medium
110,C110,Guntur,Andhra Pradesh,16.3067,80.4365,Tier 1,Medium
