violation_id,driver_id,vehicle_id,location_id,city_id,violation_date,violation_time,violation_type,fine_amount,severity,accident_involved,driver_age,driver_gender,license_type,previous_violations,vehicle_type,vehicle_brand,vehicle_age,fuel_type,area_name,city,state,road_type,latitude,longitude,average_speed,weather_condition,lane_affected,department_status
V20250410000030,D01285,VEH007261,LOC01201,C082,2025-04-10,20:35:59,No Seatbelt,600,Medium,No,24,Male,Permanent,7,Scooter,Hero,16,Petrol,Railway Crossing,Bareilly,Uttar Pradesh,City Road,28.371361,79.431465,29,Rainy,Lane 1,Notified
V20250409000031,D00110,VEH006966,LOC00009,C010,2025-04-09,13:47:30,Signal Jumping,900,Medium,No,64,Male,No License,1,Car,Mahindra,2,Diesel,Ring Road,Gurugram,Delhi NCR,Local Street,28.447802,77.015038,25,Stormy,Multiple Lanes,Active
V20250417000032,D02561,VEH007382,LOC02389,C011,2025-04-17,07:57:10,Dangerous Driving,1400,Critical,No,30,Female,Permanent,0,Car,Tata,5,Petrol,Industrial Area,Faridabad,Delhi NCR,City Road,28.412212,77.328723,25,Stormy,Lane 2,Notified
V20250408000033,D01219,VEH005960,LOC00325,C060,2025-04-08,18:29:36,Red Light Violation,900,Medium,No,42,Male,Permanent,0,Bike,Hero,3,Electric,Main Road,Navi Mumbai,Maharashtra,City Road,19.023601,73.028859,37,Clear,Lane 1,Active
V20250925000034,D01635,VEH004353,LOC00698,C021,2025-09-25,20:10:21,Overspeeding,500,Medium,No,62,Male,Permanent,3,Bike,Royal Enfield,0,Petrol,Old City,Erode,Tamil Nadu,City Road,11.337459,77.714479,52,Clear,Lane 2,Notified
V20240719000035,D00972,VEH003665,LOC02832,C075,2024-07-19,22:23:25,Signal Jumping,600,Medium,Yes,26,Male,Permanent,1,Bike,TVS,3,Petrol,Bus Stand Area,Jamnagar,Gujarat,City Road,22.485596,70.054509,40,Clear,Shoulder,Dispatched
V20250525000036,D01012,VEH000185,LOC01132,C103,2025-05-25,18:31:56,Mobile Usage,2500,Medium,No,36,Male,Permanent,2,Car,Maruti Suzuki,16,Petrol,Bypass Road,Panipat,Haryana,City Road,29.398063,76.964915,38,Clear,Lane 2,Dispatched
V20240330000037,D01034,VEH004376,LOC00313,C012,2024-03-30,00:36:21,Wrong Parking,200,Low,No,49,Male,Permanent,1,Scooter,Hero,5,Petrol,KR Puram,Bengaluru,Karnataka,City Road,12.967355,77.608492,28,Clear,Multiple Lanes,Notified
V20250524000038,D02919,VEH002325,LOC01897,C025,2025-05-24,20:04:11,No Helmet,500,Medium,No,28,Female,Permanent,0,Truck,Eicher,9,Diesel,City Center,Surat,Gujarat,City Road,21.162656,72.824853,33,Cloudy,Lane 1,Active
V20240811000039,D04082,VEH006677,LOC01987,C024,2024-08-11,17:25:05,Red Light Violation,700,Medium,No,27,Male,Permanent,0,Car,Toyota,3,Petrol,Bus Stand Area,Ahmedabad,Gujarat,City Road,23.018899,72.580383,25,Clear,Lane 3,Dispatched
V20251216000040,D04832,VEH004154,LOC01714,C072,2025-12-16,15:05:43,Overspeeding,900,High,No,57,Female,Permanent,4,Bike,Suzuki,0,Petrol,Flyover Junction,Vellore,Tamil Nadu,Expressway,12.918849,79.145969,162,Clear,Lane 1,Dispatched
V20240826000041,D00880,VEH007703,LOC00763,C022,2024-08-26,10:29:15,Triple Riding,900,Medium,No,19,Male,No License,0,Scooter,Vespa,2,Petrol,Railway Crossing,Tirupati,Tamil Nadu,City Road,13.636977,79.408702,45,Clear,Shoulder,Dispatched
V20250108000042,D00349,VEH002066,LOC02511,C065,2025-01-08,19:06:32,No Helmet,600,Medium,No,30,Female,Permanent,7,Bike,Hero,8,Petrol,Ring Road,Nanded,Maharashtra,Local Street,19.132118,77.335598,31,Clear,Multiple Lanes,Notified
V20250528000043,D02436,VEH005949,LOC00821,C040,2025-05-28,10:32:00,Overspeeding,1600,Medium,No,30,Male,Permanent,1,Bike,Yamaha,4,Electric,City Center,Indore,Madhya Pradesh,City Road,22.7231,75.860932,79,Foggy,Shoulder,Dispatched
V20241102000044,D03324,VEH002596,LOC02937,C023,2024-11-02,20:37:48,Mobile Usage,4400,High,No,56,Male,No License,1,Bike,Yamaha,7,Electric,Market Area,Kolkata,West Bengal,Local Street,22.56218,88.367883,36,Clear,Multiple Lanes,Under Review
V20241020000045,D01970,VEH002846,LOC01509,C083,2024-10-20,18:03:52,No Helmet,600,Medium,No,49,Female,Permanent,1,Bike,Royal Enfield,13,Petrol,Highway Junction,Moradabad,Uttar Pradesh,City Road,28.843501,78.762858,48,Rainy,Multiple Lanes,Dispatched
V20251219000046,D00332,VEH007488,LOC01881,C070,2025-12-19,06:32:12,Overspeeding,800,High,No,20,Female,Permanent,1,Bike,KTM,7,Electric,Industrial Area,Tiruchirappalli,Tamil Nadu,National Highway,10.786675,78.70506,128,Rainy,Lane 1,Active
V20250619000047,D00146,VEH004975,LOC01412,C087,2025-06-19,10:06:31,Overspeeding,1100,Medium,No,28,Female,Permanent,3,Auto Rickshaw,TVS,1,Petrol,City Center,Mathura,Uttar Pradesh,State Highway,27.48269,77.669814,69,Clear,Lane 2,Dispatched
V20240605000048,D00999,VEH005259,LOC00781,C108,2024-06-05,19:26:13,Dangerous Driving,3700,High,No,52,Male,Permanent,0,Scooter,TVS,1,Electric,Station Area,Nizamabad,Telangana,State Highway,18.672551,78.104205,61,Stormy,Lane 2,Active
V20241127000049,D00665,VEH003650,LOC01034,C012,2024-11-27,16:18:32,No Helmet,800,Medium,No,64,Male,No License,2,Bike,Honda,6,Electric,Whitefield,Bengaluru,Karnataka,State Highway,12.974932,77.604204,66,Clear,Lane 2,Dispatched
V20241031000050,D02460,VEH003729,LOC02512,C030,2024-10-31,05:03:07,No Helmet,700,Medium,No,24,Male,Permanent,1,Van,Mahindra,4,Petrol,Ring Road,Udaipur,Rajasthan,Local Street,24.581301,73.726414,37,Clear,Multiple Lanes,Dispatched
V20240314000051,D03187,VEH000823,LOC01064,C039,2024-03-14,15:51:05,Wrong Parking,300,Low,No,69,Male,International,0,Auto Rickshaw,Piaggio,6,CNG,Market Area,Bhopal,Madhya Pradesh,City Road,23.26827,77.422196,40,Rainy,Lane 3,Active
V20250323000052,D00662,VEH007639,LOC00805,C061,2025-03-23,08:37:52,No Seatbelt,600,Low,No,66,Male,Permanent,1,Scooter,TVS,6,Electric,Station Area,Amravati,Maharashtra,City Road,20.939118,77.745018,32,Clear,Multiple Lanes,Active
V20240326000053,D02812,VEH005911,LOC00776,C086,2024-03-26,09:01:17,Overspeeding,800,High,No,29,Male,Permanent,0,Car,Volkswagen,5,Petrol,Market Area,Saharanpur,Uttar Pradesh,Local Street,29.96033,77.536629,36,Clear,Lane 2,Under Review
V20250701000054,D00730,VEH006377,LOC02082,C031,2025-07-01,04:43:02,Overspeeding,1700,Medium,No,20,Male,International,0,Auto Rickshaw,Piaggio,5,Petrol,Flyover Junction,Kota,Rajasthan,Local Street,25.208097,75.868399,38,Foggy,Shoulder,Dispatched
V20241215000055,D03245,VEH005012,LOC00998,C046,2024-12-15,21:54:28,Overspeeding,700,High,No,53,Male,Permanent,0,Auto Rickshaw,TVS,6,CNG,Railway Crossing,Kochi,Kerala,Expressway,9.921701,76.276173,92,Cloudy,Lane 1,Under Review
V20250704000056,D01795,VEH005341,LOC02785,C056,2025-07-04,13:37:56,Overspeeding,1400,Medium,No,30,Male,Permanent,1,Scooter,Honda,8,Petrol,Flyover Junction,Bilaspur,Chhattisgarh,City Road,22.086014,82.131237,45,Foggy,Lane 1,Under Review
V20240531000057,D04258,VEH001629,LOC02939,C055,2024-05-31,15:43:34,Wrong Side Driving,1400,High,No,34,Male,Learner,2,Car,Hyundai,2,Diesel,Bus Stand Area,Raipur,Chhattisgarh,City Road,21.256701,81.63862,50,Cloudy,Lane 2,Under Review
V20250328000058,D03869,VEH004020,LOC02678,C039,2025-03-28,10:37:17,No Seatbelt,900,Low,No,30,Male,Permanent,0,Auto Rickshaw,TVS,1,CNG,Industrial Area,Bhopal,Madhya Pradesh,City Road,23.256679,77.398357,33,Clear,Lane 1,Active
V20241213000059,D03586,VEH006911,LOC00283,C068,2024-12-13,16:39:08,Triple Riding,800,Medium,No,40,Male,Permanent,1,Truck,Ashok Leyland,8,Diesel,New Colony,Davangere,Karnataka,City Road,14.45245,75.930097,42,Clear,Multiple Lanes,Dispatched
V20240302000060,D04481,VEH000562,LOC00596,C064,2024-03-02,08:14:00,No Helmet,600,Medium,No,46,Female,Permanent,1,Truck,Eicher,2,Diesel,Bus Stand Area,Dhule,Maharashtra,City Road,20.890766,74.770291,42,Stormy,Lane 2,Under Review
V20240715000061,D02374,VEH004896,LOC02688,C014,2024-07-15,17:17:04,Signal Jumping,700,Medium,No,23,Male,Permanent,0,Bike,Royal Enfield,4,Petrol,New Colony,Mangaluru,Karnataka,City Road,12.906942,74.847543,49,Rainy,Multiple Lanes,Under Review
V20240127000062,D03562,VEH002144,LOC02083,C018,2024-01-27,20:36:38,Signal Jumping,900,Medium,No,27,Female,Permanent,1,Scooter,Honda,6,Petrol,Highway Junction,Coimbatore,Tamil Nadu,City Road,11.028056,76.961719,43,Clear,Lane 1,Notified
V20251110000063,D00711,VEH002110,LOC02234,C045,2025-11-10,02:33:01,No Seatbelt,600,Low,No,23,Male,Permanent,0,Car,Honda,6,Electric,New Colony,Bhubaneswar,Odisha,Local Street,20.304761,85.829762,38,Foggy,Multiple Lanes,Dispatched
V20250526000064,D02189,VEH004313,LOC02753,C035,2025-05-26,22:02:25,No Helmet,800,Medium,Yes,38,Male,Learner,1,Scooter,Vespa,0,Electric,New Colony,Varanasi,Uttar Pradesh,Local Street,25.306577,82.99911,27,Clear,Lane 1,Dispatched
V20240320000065,D03689,VEH005941,LOC00860,C030,2024-03-20,09:19:39,Signal Jumping,600,Medium,No,29,Female,Permanent,1,Car,Honda,4,Petrol,Old City,Udaipur,Rajasthan,State Highway,24.589696,73.708231,80,Cloudy,Shoulder,Under Review
V20240808000066,D02623,VEH000458,LOC01909,C052,2024-08-08,09:33:59,Drunk Driving,2700,Critical,No,63,Male,Permanent,0,Car,Maruti Suzuki,1,Electric,Railway Crossing,Shillong,Meghalaya,State Highway,25.57769,91.888234,53,Clear,Multiple Lanes,Under Review
V20240527000067,D01962,VEH002410,LOC02314,C007,2024-05-27,10:32:20,Red Light Violation,1000,Medium,No,24,Male,Permanent,0,Bike,KTM,2,Electric,Industrial Area,Kolhapur,Maharashtra,City Road,16.705681,74.244699,35,Rainy,Lane 1,Under Review
V20250127000068,D03435,VEH000250,LOC01794,C027,2025-01-27,21:34:32,No Seatbelt,600,Medium,No,18,Female,Permanent,1,Bike,KTM,10,Petrol,New Colony,Vadodara,Gujarat,Expressway,22.297,73.176883,78,Cloudy,Multiple Lanes,Active
V20240509000069,D01793,VEH003089,LOC02372,C005,2024-05-09,00:00:02,No Helmet,700,Medium,No,28,Male,Permanent,0,Bike,Honda,5,Electric,Bypass Road,Aurangabad,Maharashtra,City Road,19.872844,75.331792,26,Clear,Shoulder,Dispatched
V20240614000070,D00256,VEH007636,LOC02977,C097,2024-06-14,10:09:53,Overspeeding,800,High,No,40,Female,Permanent,0,Bike,Honda,4,Petrol,Flyover Junction,Cuttack,Odisha,Expressway,20.465428,85.888806,145,Rainy,Lane 2,Notified
V20240129000071,D04865,VEH001909,LOC02015,C002,2024-01-29,11:15:38,Wrong Parking,400,Low,No,22,Male,Learner,0,Auto Rickshaw,Piaggio,3,CNG,Hadapsar,Pune,Maharashtra,City Road,18.506525,73.862766,25,Foggy,Lane 2,Active
V20241129000072,D01375,VEH000414,LOC01164,C048,2024-11-29,14:55:48,Mobile Usage,1100,Medium,No,22,Male,Permanent,1,Scooter,Hero,9,Petrol,Bypass Road,Chandigarh,Punjab,National Highway,30.724248,76.783932,100,Rainy,Lane 1,Active
V20250613000073,D02668,VEH000946,LOC01806,C076,2025-06-13,11:33:37,Overspeeding,900,High,No,40,Male,Learner,1,Bike,Bajaj,5,Electric,City Center,Gandhinagar,Gujarat,National Highway,23.204053,72.641467,148,Clear,Multiple Lanes,Dispatched
V20250714000074,D01618,VEH002935,LOC00042,C042,2025-07-14,12:49:47,Overspeeding,1800,Medium,No,25,Female,Permanent,1,Car,Kia,2,Petrol,City Center,Gwalior,Madhya Pradesh,City Road,26.221305,78.196482,82,Clear,Lane 2,Under Review
V20250304000075,D01015,VEH007964,LOC01726,C069,2025-03-04,08:44:02,Wrong Parking,400,Low,No,57,Male,No License,1,Scooter,Honda,6,Electric,Station Area,Shimoga,Karnataka,National Highway,13.927841,75.557714,91,Stormy,Shoulder,Dispatched
V20240320000076,D00973,VEH003267,LOC02086,C012,2024-03-20,18:37:57,No Seatbelt,900,Low,No,21,Male,Permanent,0,Bike,TVS,3,Petrol,KR Puram,Bengaluru,Karnataka,City Road,12.965704,77.591167,50,Clear,Lane 2,Active
V20251122000077,D00965,VEH005422,LOC02289,C018,2025-11-22,20:56:56,Overspeeding,700,High,No,18,Male,Permanent,3,Bike,Suzuki,3,Petrol,IT Park Area,Coimbatore,Tamil Nadu,National Highway,11.012457,76.967615,138,Foggy,Lane 1,Dispatched
V20250329000078,D02704,VEH007641,LOC02381,C072,2025-03-29,21:32:34,Mobile Usage,4500,High,No,27,Male,Learner,0,Car,Kia,9,Petrol,Ring Road,Vellore,Tamil Nadu,Local Street,12.915383,79.134825,24,Rainy,Multiple Lanes,Active
V20240325000079,D03280,VEH005185,LOC02917,C066,2024-03-25,15:22:23,Wrong Parking,400,Low,No,25,Male,Permanent,0,Bike,Hero,4,Petrol,Industrial Area,Hubli,Karnataka,City Road,15.35241,75.110988,28,Rainy,Lane 2,Under Review
V20241108000080,D02927,VEH000525,LOC01774,C057,2024-11-08,21:10:06,Drunk Driving,7800,Critical,No,21,Male,Learner,1,Auto Rickshaw,Piaggio,10,Petrol,IT Park Area,Visakhapatnam,Andhra Pradesh,City Road,17.693934,83.212148,44,Cloudy,Lane 1,Active
V20240929000081,D04055,VEH003601,LOC00424,C013,2024-09-29,10:29:21,No Seatbelt,900,Low,No,22,Male,Learner,0,Car,Volkswagen,3,Petrol,Market Area,Mysuru,Karnataka,City Road,12.3021,76.644438,54,Cloudy,Multiple Lanes,Notified
V20250626000082,D01242,VEH007421,LOC00257,C034,2025-06-26,09:50:43,Dangerous Driving,4700,High,No,67,Male,Permanent,0,Scooter,Hero,1,Petrol,Old City,Kanpur,Uttar Pradesh,National Highway,26.464801,80.33391,84,Cloudy,Lane 1,Notified
V20250323000083,D01161,VEH004711,LOC02968,C048,2025-03-23,09:20:57,Overspeeding,1400,High,Yes,23,Male,Permanent,7,Car,Mahindra,2,Electric,Main Road,Chandigarh,Punjab,City Road,30.727126,76.77349,55,Foggy,Lane 3,Dispatched
V20241010000084,D02224,VEH003777,LOC00654,C087,2024-10-10,23:48:53,No License,2900,High,No,50,Male,Permanent,0,Bike,KTM,10,Petrol,Highway Junction,Mathura,Uttar Pradesh,City Road,27.506868,77.673775,41,Clear,Lane 1,Active
V20241006000085,D01449,VEH006352,LOC01440,C046,2024-10-06,18:28:49,Overspeeding,1800,High,No,23,Male,International,1,Bike,TVS,5,Petrol,Main Road,Kochi,Kerala,City Road,9.946136,76.280707,47,Clear,Multiple Lanes,Notified
V20240121000086,D02528,VEH004626,LOC02030,C006,2024-01-21,12:03:10,Red Light Violation,900,Medium,No,63,Female,Permanent,0,Car,Tata,4,Petrol,Main Road,Solapur,Maharashtra,Local Street,17.662691,75.904186,36,Clear,Shoulder,Dispatched
V20240220000087,D01262,VEH005138,LOC02754,C013,2024-02-20,16:21:04,Overspeeding,600,Medium,No,33,Male,Permanent,0,Car,Mahindra,5,Petrol,Bus Stand Area,Mysuru,Karnataka,State Highway,12.294714,76.653184,99,Cloudy,Shoulder,Notified
V20240514000088,D02900,VEH006275,LOC02821,C041,2024-05-14,22:55:59,Overspeeding,1700,Medium,Yes,28,Male,Permanent,0,Scooter,Bajaj,2,Petrol,Bypass Road,Jabalpur,Madhya Pradesh,City Road,23.186179,79.996166,34,Clear,Lane 1,Active
V20241005000089,D02721,VEH006105,LOC01047,C004,2024-10-05,18:54:10,Mobile Usage,5000,Medium,No,53,Female,Permanent,0,Scooter,Vespa,3,Electric,Flyover Junction,Nashik,Maharashtra,City Road,19.984963,73.779429,40,Rainy,Lane 2,Dispatched
V20240415000090,D02922,VEH007870,LOC02954,C059,2024-04-15,15:42:28,Signal Jumping,800,Medium,No,40,Male,International,0,Truck,BharatBenz,1,Diesel,Railway Crossing,Thane,Maharashtra,State Highway,19.213296,72.987301,55,Clear,Shoulder,Active
V20240519000091,D03516,VEH004668,LOC02377,C086,2024-05-19,07:54:10,Drunk Driving,4800,Critical,No,29,Male,Permanent,7,Bike,Suzuki,5,Petrol,Bus Stand Area,Saharanpur,Uttar Pradesh,State Highway,29.963949,77.548035,67,Rainy,Lane 3,Active
V20240809000092,D03998,VEH003260,LOC01286,C055,2024-08-09,06:49:10,Dangerous Driving,2300,Critical,No,45,Male,No License,3,Bike,Yamaha,19,Electric,IT Park Area,Raipur,Chhattisgarh,City Road,21.249251,81.634795,26,Foggy,Multiple Lanes,Dispatched
V20250616000093,D02385,VEH006887,LOC02472,C047,2025-06-16,21:29:52,Signal Jumping,700,Medium,Yes,40,Male,Permanent,0,Car,Tata,7,Petrol,Old City,Thiruvananthapuram,Kerala,City Road,8.525576,76.940002,46,Clear,Shoulder,Dispatched
V20250319000094,D01297,VEH005036,LOC02191,C042,2025-03-19,09:06:28,Signal Jumping,1000,Medium,No,45,Male,No License,1,Bike,KTM,0,Electric,Clock Tower Area,Gwalior,Madhya Pradesh,National Highway,26.209165,78.191113,69,Stormy,Multiple Lanes,Dispatched
V20240518000095,D01529,VEH002835,LOC00066,C109,2024-05-18,17:12:54,Overspeeding,1600,High,No,38,Female,International,0,Car,Maruti Suzuki,5,Diesel,Clock Tower Area,Tirupati,Andhra Pradesh,State Highway,13.622892,79.433423,97,Cloudy,Multiple Lanes,Under Review
V20251008000096,D03558,VEH002295,LOC01571,C109,2025-10-08,16:28:28,Signal Jumping,600,Medium,No,22,Male,Learner,0,Auto Rickshaw,TVS,5,Diesel,Ring Road,Tirupati,Andhra Pradesh,Local Street,13.619745,79.410969,29,Clear,Multiple Lanes,Notified
V20240611000097,D04662,VEH005472,LOC01437,C069,2024-06-11,06:30:40,Overspeeding,1100,Medium,No,38,Male,Permanent,2,Bus,Tata,1,Diesel,Clock Tower Area,Shimoga,Karnataka,Local Street,13.938819,75.559597,52,Cloudy,Multiple Lanes,Notified
V20240715000098,D00698,VEH007504,LOC02550,C051,2024-07-15,07:16:01,Overspeeding,800,Medium,No,32,Male,Permanent,1,Bike,KTM,2,Petrol,New Colony,Guwahati,Assam,City Road,26.13822,91.731892,77,Clear,Lane 3,Under Review
V20240619000099,D04269,VEH001125,LOC02345,C076,2024-06-19,16:16:02,Overspeeding,1800,High,No,66,Male,Permanent,2,Bike,KTM,4,Petrol,Bus Stand Area,Gandhinagar,Gujarat,Expressway,23.206826,72.64882,180,Rainy,Lane 1,Dispatched
V20250729000100,D00082,VEH007894,LOC02151,C030,2025-07-29,09:27:47,Wrong Parking,300,Low,No,30,Male,Permanent,1,Auto Rickshaw,Bajaj,3,CNG,Station Area,Udaipur,Rajasthan,National Highway,24.583757,73.719587,86,Clear,Lane 2,Dispatched
V20251110000101,D04990,VEH007376,LOC02133,C001,2025-11-10,17:01:17,No Helmet,900,Medium,No,32,Female,No License,0,Scooter,Hero,0,Petrol,Powai,Mumbai,Maharashtra,National Highway,19.073615,72.879137,64,Rainy,Lane 3,Active
