driver_surrogate_key,driver_key,driver_age,driver_gender,license_type,previous_violations,age_group,offender_type
100,D00082,30,Male,Permanent,1,26-35,Repeat
101,D04990,32,Female,No License,0,26-35,First Time
102,D04461,22,Male,Permanent,0,18-25,First Time
103,D02874,18,Male,Permanent,1,18-25,Repeat
104,D02304,22,Male,Permanent,0,18-25,First Time
105,D02583,62,Male,Permanent,7,56-65,Habitual
106,D01051,28,Female,Permanent,0,26-35,First Time
107,D02010,24,Male,Permanent,0,18-25,First Time
108,D00902,59,Male,Permanent,1,56-65,Repeat
109,D00028,35,Male,International,1,26-35,Repeat
110,D03309,36,Male,Permanent,0,36-45,First Time
111,D01474,39,Male,Permanent,1,36-45,Repeat
112,D03142,28,Female,No License,2,26-35,Repeat
113,D02507,47,Male,Permanent,1,46-55,Repeat
114,D04175,23,Male,Permanent,1,18-25,Repeat
115,D04673,29,Male,Permanent,0,26-35,First Time
116,D03433,39,Male,No License,0,36-45,First Time
117,D00173,54,Male,Permanent,0,46-55,First Time
118,D04033,35,Male,Permanent,2,26-35,Repeat
119,D03810,30,Male,Learner,1,26-35,Repeat
120,D02369,21,Female,Permanent,0,18-25,First Time
121,D01576,68,Male,Permanent,1,65+,Repeat
122,D02610,34,Female,Permanent,0,26-35,First Time
123,D03914,25,Male,Permanent,4,18-25,Habitual
124,D03748,34,Female,Permanent,0,26-35,First Time
125,D03003,39,Male,Permanent,0,36-45,First Time
126,D04903,51,Male,Permanent,1,46-55,Repeat
127,D04989,29,Female,Permanent,0,26-35,First Time
128,D00560,19,Male,International,2,18-25,Repeat
129,D02345,32,Male,Permanent,2,26-35,Repeat
130,D03625,39,Male,International,0,36-45,First Time
131,D03884,20,Female,Permanent,5,18-25,Habitual
132,D03402,39,Male,Permanent,0,36-45,First Time
133,D01372,28,Male,Permanent,3,26-35,Habitual
134,D00021,68,Male,Permanent,0,65+,First Time
135,D02487,23,Male,Permanent,0,18-25,First Time
136,D01797,27,Male,Permanent,0,26-35,First Time
137,D04672,35,Male,No License,1,26-35,Repeat
138,D01155,20,Male,Permanent,0,18-25,First Time
139,D04747,60,Male,Permanent,1,56-65,Repeat
140,D03807,19,Male,Learner,1,18-25,Repeat
141,D03228,23,Male,Permanent,0,18-25,First Time
142,D02462,30,Male,No License,0,26-35,First Time
143,D01912,37,Male,International,0,36-45,First Time
144,D02634,25,Male,Permanent,1,18-25,Repeat
145,D04523,20,Male,No License,7,18-25,Habitual
146,D01668,29,Female,Permanent,0,26-35,First Time
147,D03776,27,Female,Permanent,0,26-35,First Time
148,D00950,24,Male,Permanent,1,18-25,Repeat
149,D04186,39,Male,Permanent,1,36-45,Repeat
150,D04730,21,Male,No License,1,18-25,Repeat
151,D00713,37,Male,Permanent,4,36-45,Habitual
152,D04239,32,Female,No License,0,26-35,First Time
153,D00635,41,Female,Permanent,0,36-45,First Time
154,D02244,28,Male,International,3,26-35,Habitual
155,D00807,28,Male,Permanent,0,26-35,First Time
156,D02510,19,Male,Permanent,0,18-25,First Time
157,D03475,28,Male,Permanent,0,26-35,First Time
158,D03278,30,Male,Permanent,1,26-35,Repeat
159,D03128,22,Female,Learner,1,18-25,Repeat
160,D04770,39,Male,Permanent,1,36-45,Repeat
161,D02086,25,Male,Permanent,1,18-25,Repeat
162,D04446,28,Male,Permanent,0,26-35,First Time
163,D01722,37,Female,Permanent,0,36-45,First Time
164,D00061,32,Male,No License,1,26-35,Repeat
165,D01675,24,Male,Permanent,0,18-25,First Time
166,D01167,24,Male,No License,1,18-25,Repeat
167,D00091,61,Female,Permanent,0,56-65,First Time
168,D00961,26,Male,No License,1,26-35,Repeat
169,D02154,32,Male,Permanent,1,26-35,Repeat
170,D02750,18,Male,Permanent,0,18-25,First Time
171,D01097,27,Male,Permanent,1,26-35,Repeat
172,D02761,29,Male,Permanent,0,26-35,First Time
173,D01591,23,Male,Learner,2,18-25,Repeat
174,D04569,37,Male,Permanent,1,36-45,Repeat
175,D03299,18,Male,Permanent,0,18-25,First Time
176,D04105,23,Male,Learner,0,18-25,First Time
177,D04090,29,Male,International,0,26-35,First Time
178,D04352,32,Male,Permanent,1,26-35,Repeat
179,D04968,29,Female,Permanent,0,26-35,First Time
180,D01305,19,Male,Permanent,2,18-25,Repeat
181,D02039,36,Male,Permanent,0,36-45,First Time
182,D00195,18,Male,Permanent,1,18-25,Repeat
183,D02341,50,Male,Permanent,0,46-55,First Time
184,D01754,20,Male,Permanent,2,18-25,Repeat
185,D04022,35,Female,Permanent,2,26-35,Repeat
186,D01411,49,Female,Permanent,0,46-55,First Time
187,D00199,36,Male,Learner,1,36-45,Repeat
188,D04232,21,Female,Learner,2,18-25,Repeat
189,D03809,40,Male,Permanent,1,36-45,Repeat
190,D01309,66,Female,Permanent,0,65+,First Time
191,D03266,31,Female,Permanent,0,26-35,First Time
192,D00694,20,Male,Permanent,1,18-25,Repeat
193,D04457,36,Male,Permanent,0,36-45,First Time
194,D03414,31,Male,No License,2,26-35,Repeat
195,D03628,43,Male,Permanent,1,36-45,Repeat
196,D03834,53,Male,Learner,0,46-55,First Time
197,D03282,38,Male,Learner,5,36-45,Habitual
198,D04276,46,Female,No License,0,46-55,First Time
199,D04952,55,Male,International,0,46-55,First Time
200,D02784,32,Female,Learner,0,26-35,First Time
201,D01968,46,Male,Learner,0,46-55,First Time
202,D00524,38,Male,Permanent,2,36-45,Repeat
203,D01862,34,Male,Permanent,0,26-35,First Time
204,D03503,20,Male,Permanent,1,18-25,Repeat
205,D00895,20,Female,Permanent,1,18-25,Repeat
206,D01491,18,Male,Permanent,0,18-25,First Time
207,D00198,38,Female,Permanent,2,36-45,Repeat
208,D03572,27,Female,Permanent,2,26-35,Repeat
209,D04830,29,Male,Permanent,1,26-35,Repeat
210,D02949,25,Female,Permanent,0,18-25,First Time
211,D03702,50,Female,Permanent,0,46-55,First Time
212,D01881,21,Male,Permanent,2,18-25,Repeat
213,D04542,46,Male,Permanent,1,46-55,Repeat
214,D00842,18,Male,International,0,18-25,First Time
215,D00364,39,Male,No License,0,36-45,First Time
216,D04442,27,Male,Permanent,1,26-35,Repeat
217,D04188,37,Male,Permanent,0,36-45,First Time
218,D01019,43,Male,Learner,2,36-45,Repeat
219,D01183,21,Male,Permanent,1,18-25,Repeat
220,D02516,24,Male,Learner,0,18-25,First Time
221,D03115,38,Male,No License,0,36-45,First Time
222,D00585,35,Male,Permanent,2,26-35,Repeat
223,D02896,35,Male,Permanent,1,26-35,Repeat
224,D00868,65,Male,Learner,0,56-65,First Time
225,D01521,19,Male,Permanent,0,18-25,First Time
226,D00169,48,Male,Permanent,0,46-55,First Time
227,D02100,45,Male,Learner,1,36-45,Repeat
228,D03227,27,Male,Permanent,7,26-35,Habitual
229,D03212,36,Male,Permanent,0,36-45,First Time
230,D04841,21,Male,Permanent,6,18-25,Habitual
231,D02630,38,Male,Permanent,0,36-45,First Time
232,D01585,26,Male,Permanent,3,26-35,Habitual
233,D01765,54,Female,Permanent,0,46-55,First Time
234,D00058,26,Female,Permanent,1,26-35,Repeat
235,D04836,24,Male,Permanent,6,18-25,Habitual
236,D03431,27,Male,Permanent,1,26-35,Repeat
237,D00404,24,Male,Learner,1,18-25,Repeat
238,D03358,20,Male,Permanent,0,18-25,First Time
239,D02779,34,Male,Permanent,0,26-35,First Time
240,D00137,30,Male,Permanent,0,26-35,First Time
241,D01745,45,Male,Learner,2,36-45,Repeat
242,D02183,36,Male,Permanent,1,36-45,Repeat
243,D01289,30,Male,Permanent,2,26-35,Repeat
244,D02022,40,Female,International,1,36-45,Repeat
245,D00209,23,Male,Permanent,7,18-25,Habitual
246,D03102,65,Male,Permanent,1,56-65,Repeat
247,D00810,27,Male,Permanent,0,26-35,First Time
248,D02357,35,Male,Permanent,0,26-35,First Time
249,D03188,19,Male,Permanent,0,18-25,First Time
250,D00095,50,Male,Permanent,0,46-55,First Time
251,D00306,40,Female,Permanent,0,36-45,First Time
252,D00801,35,Male,Permanent,4,26-35,Habitual
253,D00134,20,Male,Permanent,1,18-25,Repeat
254,D03277,30,Female,No License,0,26-35,First Time
255,D01485,37,Male,No License,0,36-45,First Time
256,D01107,22,Male,Permanent,0,18-25,First Time
257,D01434,20,Male,Permanent,1,18-25,Repeat
258,D00478,27,Female,Permanent,0,26-35,First Time
259,D01496,51,Male,Learner,1,46-55,Repeat
260,D01339,29,Male,Learner,1,26-35,Repeat
261,D01979,37,Male,Permanent,2,36-45,Repeat
262,D00767,30,Male,Permanent,0,26-35,First Time
263,D03505,19,Male,Permanent,0,18-25,First Time
264,D04042,45,Male,Permanent,0,36-45,First Time
265,D00803,22,Male,Learner,2,18-25,Repeat
266,D01024,32,Male,Permanent,0,26-35,First Time
267,D04161,37,Male,Permanent,1,36-45,Repeat
268,D03445,30,Female,Permanent,5,26-35,Habitual
269,D00022,20,Male,Permanent,0,18-25,First Time
270,D01346,34,Male,Permanent,4,26-35,Habitual
271,D02171,34,Female,No License,0,26-35,First Time
272,D04963,27,Male,Permanent,0,26-35,First Time
273,D03417,35,Male,Permanent,1,26-35,Repeat
274,D03253,38,Male,Permanent,0,36-45,First Time
275,D00546,41,Female,Permanent,6,36-45,Habitual
276,D03225,22,Male,Learner,0,18-25,First Time
277,D04873,28,Female,Learner,2,26-35,Repeat
278,D03374,25,Male,Permanent,2,18-25,Repeat
279,D04173,20,Male,Learner,1,18-25,Repeat
280,D04759,55,Male,Permanent,0,46-55,First Time
281,D04518,20,Male,Permanent,0,18-25,First Time
282,D01700,22,Male,No License,5,18-25,Habitual
283,D00682,38,Male,Permanent,0,36-45,First Time
284,D02801,36,Male,Permanent,0,36-45,First Time
285,D03443,34,Male,Permanent,0,26-35,First Time
286,D00322,26,Male,International,0,26-35,First Time
287,D02800,28,Male,Permanent,0,26-35,First Time
288,D00475,21,Female,Permanent,0,18-25,First Time
289,D04630,66,Female,Learner,0,65+,First Time
290,D03965,35,Male,Permanent,5,26-35,Habitual
291,D04259,23,Male,Learner,0,18-25,First Time
292,D01087,45,Male,Permanent,2,36-45,Repeat
293,D02796,60,Male,Permanent,0,56-65,First Time
294,D03767,39,Female,Learner,0,36-45,First Time
295,D02752,24,Male,Permanent,1,18-25,Repeat
296,D00263,42,Male,No License,2,36-45,Repeat
297,D02830,55,Male,Permanent,1,46-55,Repeat
298,D01709,34,Male,Learner,0,26-35,First Time
299,D03916,25,Male,Permanent,0,18-25,First Time
300,D01837,23,Male,Permanent,1,18-25,Repeat
301,D01586,36,Male,Permanent,0,36-45,First Time
302,D03918,40,Male,Permanent,1,36-45,Repeat
303,D01802,21,Female,Permanent,0,18-25,First Time
304,D02419,27,Female,Permanent,0,26-35,First Time
305,D00778,38,Male,Permanent,0,36-45,First Time
306,D04907,31,Male,No License,1,26-35,Repeat
307,D00538,44,Male,Permanent,3,36-45,Habitual
308,D01880,19,Male,Permanent,0,18-25,First Time
309,D02702,37,Male,Permanent,0,36-45,First Time
310,D00509,23,Female,Permanent,3,18-25,Habitual
311,D00516,32,Male,Permanent,2,26-35,Repeat
312,D02199,30,Male,Permanent,0,26-35,First Time
313,D00073,33,Male,Permanent,1,26-35,Repeat
314,D04097,56,Male,No License,2,56-65,Repeat
315,D02783,32,Female,Permanent,2,26-35,Repeat
316,D04682,58,Male,Permanent,0,56-65,First Time
317,D00162,32,Male,No License,0,26-35,First Time
318,D04142,28,Male,Permanent,0,26-35,First Time
319,D03049,21,Male,Permanent,2,18-25,Repeat
320,D03842,29,Male,Learner,0,26-35,First Time
321,D04361,20,Male,Permanent,0,18-25,First Time
322,D02173,30,Male,Permanent,5,26-35,Habitual
323,D01104,54,Male,Permanent,1,46-55,Repeat
324,D03063,24,Female,Permanent,1,18-25,Repeat
325,D02292,47,Male,Permanent,2,46-55,Repeat
326,D03122,38,Male,Permanent,4,36-45,Habitual
327,D04854,20,Male,Permanent,2,18-25,Repeat
328,D02038,24,Female,Permanent,1,18-25,Repeat
329,D03523,23,Male,Permanent,1,18-25,Repeat
330,D01371,22,Male,Permanent,2,18-25,Repeat
331,D01667,26,Male,Permanent,0,26-35,First Time
332,D01355,35,Male,Permanent,0,26-35,First Time
333,D04739,43,Male,Permanent,1,36-45,Repeat
334,D03882,25,Male,Permanent,2,18-25,Repeat
335,D00520,34,Male,Permanent,3,26-35,Habitual
336,D01253,21,Male,Permanent,1,18-25,Repeat
337,D02102,22,Male,Permanent,1,18-25,Repeat
338,D04857,32,Male,Permanent,1,26-35,Repeat
339,D03441,37,Male,International,0,36-45,First Time
340,D02033,29,Female,International,0,26-35,First Time
341,D02967,19,Male,Permanent,0,18-25,First Time
342,D04544,70,Male,Permanent,1,65+,Repeat
343,D01904,65,Male,International,1,56-65,Repeat
344,D02689,45,Male,Permanent,1,36-45,Repeat
345,D04027,19,Male,Permanent,1,18-25,Repeat
346,D02933,30,Male,Learner,0,26-35,First Time
347,D04247,21,Male,Learner,2,18-25,Repeat
348,D04837,28,Male,Permanent,0,26-35,First Time
349,D00582,54,Male,Permanent,1,46-55,Repeat
350,D02513,60,Male,Permanent,0,56-65,First Time
351,D00296,18,Male,Learner,0,18-25,First Time
352,D00566,27,Female,Permanent,0,26-35,First Time
353,D03041,28,Female,Permanent,0,26-35,First Time
354,D03840,45,Male,International,0,36-45,First Time
355,D02313,33,Male,Permanent,5,26-35,Habitual
356,D01596,29,Male,Permanent,2,26-35,Repeat
357,D00042,36,Female,Permanent,0,36-45,First Time
358,D04777,40,Male,Permanent,0,36-45,First Time
359,D03769,45,Female,No License,0,36-45,First Time
360,D02311,37,Male,Learner,0,36-45,First Time
361,D03001,23,Female,Permanent,6,18-25,Habitual
362,D02966,40,Male,Permanent,0,36-45,First Time
363,D03285,33,Male,Permanent,0,26-35,First Time
364,D03896,23,Male,Permanent,1,18-25,Repeat
365,D01628,28,Male,Permanent,1,26-35,Repeat
366,D01551,19,Female,No License,4,18-25,Habitual
367,D04273,18,Female,Permanent,0,18-25,First Time
368,D02111,20,Male,Permanent,2,18-25,Repeat
369,D01749,58,Male,Permanent,2,56-65,Repeat
370,D02595,20,Male,Permanent,2,18-25,Repeat
371,D04939,29,Female,Learner,0,26-35,First Time
372,D03999,33,Female,Permanent,1,26-35,Repeat
373,D04782,22,Male,Permanent,0,18-25,First Time
374,D01857,31,Male,Permanent,2,26-35,Repeat
375,D00294,34,Male,Permanent,1,26-35,Repeat
376,D00535,38,Male,No License,6,36-45,Habitual
377,D01445,53,Male,Learner,0,46-55,First Time
378,D01915,64,Male,Permanent,0,56-65,First Time
379,D04967,36,Male,Permanent,2,36-45,Repeat
380,D03694,29,Male,Permanent,0,26-35,First Time
381,D04519,34,Female,Permanent,0,26-35,First Time
382,D03765,35,Male,No License,1,26-35,Repeat
383,D04435,26,Male,Permanent,0,26-35,First Time
384,D02485,28,Male,Permanent,0,26-35,First Time
385,D03176,30,Male,Permanent,3,26-35,Habitual
386,D02577,34,Male,Permanent,1,26-35,Repeat
387,D03989,38,Male,Permanent,1,36-45,Repeat
388,D03818,19,Male,Permanent,4,18-25,Habitual
389,D03487,37,Male,Permanent,4,36-45,Habitual
390,D02472,21,Female,Learner,0,18-25,First Time
391,D01713,36,Female,Permanent,0,36-45,First Time
392,D04833,27,Male,Permanent,4,26-35,Habitual
393,D04991,61,Male,Permanent,0,56-65,First Time
394,D03855,60,Male,International,2,56-65,Repeat
395,D04522,52,Male,Permanent,2,46-55,Repeat
396,D04918,30,Male,Learner,5,26-35,Habitual
397,D04410,33,Male,Permanent,0,26-35,First Time
398,D04502,31,Male,No License,2,26-35,Repeat
399,D04925,51,Male,Permanent,0,46-55,First Time
400,D04658,37,Male,Permanent,0,36-45,First Time
401,D01367,30,Male,Permanent,0,26-35,First Time
402,D04593,34,Female,Permanent,0,26-35,First Time
403,D01416,39,Female,Permanent,1,36-45,Repeat
404,D03149,18,Male,Permanent,0,18-25,First Time
405,D01038,65,Male,Permanent,0,56-65,First Time
406,D03944,24,Male,No License,0,18-25,First Time
407,D04640,18,Female,Learner,0,18-25,First Time
408,D02028,33,Male,Permanent,0,26-35,First Time
409,D01319,30,Female,Permanent,0,26-35,First Time
410,D01214,36,Male,No License,2,36-45,Repeat
411,D03551,48,Male,Permanent,0,46-55,First Time
412,D04398,40,Male,No License,6,36-45,Habitual
413,D01645,31,Male,Learner,1,26-35,Repeat
414,D00311,20,Female,Permanent,2,18-25,Repeat
415,D00888,25,Male,No License,0,18-25,First Time
416,D00867,31,Male,No License,2,26-35,Repeat
417,D04143,35,Male,Permanent,6,26-35,Habitual
418,D04561,42,Male,Learner,0,36-45,First Time
419,D00419,39,Male,Learner,2,36-45,Repeat
420,D02071,46,Female,Permanent,1,46-55,Repeat
421,D01470,40,Male,Learner,4,36-45,Habitual
422,D00849,20,Male,Permanent,1,18-25,Repeat
423,D02143,42,Male,Permanent,4,36-45,Habitual
424,D00758,35,Male,Permanent,1,26-35,Repeat
425,D00652,40,Male,Permanent,1,36-45,Repeat
426,D02594,37,Male,Permanent,0,36-45,First Time
427,D00897,35,Female,Permanent,2,26-35,Repeat
428,D03760,19,Male,Permanent,0,18-25,First Time
429,D01714,20,Male,Learner,0,18-25,First Time
430,D01270,35,Male,No License,0,26-35,First Time
431,D04477,24,Male,Permanent,0,18-25,First Time
432,D02413,22,Male,No License,2,18-25,Repeat
433,D04272,36,Male,Permanent,0,36-45,First Time
434,D02729,25,Male,Learner,5,18-25,Habitual
435,D01330,33,Female,Permanent,0,26-35,First Time
436,D04844,19,Female,Permanent,0,18-25,First Time
437,D03805,36,Male,Permanent,2,36-45,Repeat
438,D01030,30,Female,No License,2,26-35,Repeat
439,D01728,21,Male,Permanent,0,18-25,First Time
440,D00460,23,Male,Learner,0,18-25,First Time
441,D00373,19,Female,Permanent,0,18-25,First Time
442,D01547,24,Female,International,0,18-25,First Time
443,D00344,24,Male,Permanent,1,18-25,Repeat
444,D04294,35,Male,Permanent,0,26-35,First Time
445,D04503,38,Male,Permanent,0,36-45,First Time
446,D01164,26,Male,No License,2,26-35,Repeat
447,D04265,29,Male,Permanent,0,26-35,First Time
448,D03839,35,Male,Permanent,6,26-35,Habitual
449,D02106,33,Male,No License,2,26-35,Repeat
450,D03466,32,Male,Learner,0,26-35,First Time
451,D03713,30,Male,Permanent,0,26-35,First Time
452,D02821,29,Male,Permanent,1,26-35,Repeat
453,D02136,37,Male,No License,2,36-45,Repeat
454,D00407,22,Male,Permanent,0,18-25,First Time
455,D04934,59,Female,Permanent,1,56-65,Repeat
456,D04420,36,Male,Learner,0,36-45,First Time
457,D00120,19,Female,Permanent,0,18-25,First Time
458,D00243,19,Male,Permanent,2,18-25,Repeat
459,D01526,28,Male,Learner,0,26-35,First Time
460,D04890,35,Female,Permanent,0,26-35,First Time
461,D03131,39,Male,Learner,0,36-45,First Time
462,D03782,30,Female,Permanent,0,26-35,First Time
463,D01788,30,Male,Learner,0,26-35,First Time
464,D00513,36,Male,Permanent,0,36-45,First Time
465,D02410,48,Male,Permanent,0,46-55,First Time
466,D00628,38,Male,Permanent,0,36-45,First Time
467,D03330,61,Male,Permanent,0,56-65,First Time
468,D04938,65,Male,Permanent,1,56-65,Repeat
469,D04388,35,Male,Permanent,0,26-35,First Time
470,D04380,25,Male,Permanent,0,18-25,First Time
471,D00099,18,Male,No License,0,18-25,First Time
472,D04174,36,Male,Permanent,1,36-45,Repeat
473,D03940,70,Male,Permanent,2,65+,Repeat
474,D03833,20,Male,Permanent,0,18-25,First Time
475,D00755,38,Male,Learner,2,36-45,Repeat
476,D01479,22,Male,Permanent,0,18-25,First Time
477,D04904,55,Female,Learner,2,46-55,Repeat
478,D04765,61,Male,Permanent,2,56-65,Repeat
479,D00623,18,Male,Permanent,0,18-25,First Time
480,D03473,30,Male,Permanent,0,26-35,First Time
481,D01230,60,Female,International,1,56-65,Repeat
482,D01512,25,Male,Learner,1,18-25,Repeat
483,D04225,32,Male,Permanent,2,26-35,Repeat
484,D04825,22,Male,No License,2,18-25,Repeat
485,D01117,48,Male,Permanent,6,46-55,Habitual
486,D03705,35,Male,Permanent,1,26-35,Repeat
487,D03660,49,Male,Permanent,1,46-55,Repeat
488,D02598,37,Female,Permanent,3,36-45,Habitual
489,D01563,53,Male,Permanent,0,46-55,First Time
490,D01604,37,Male,Permanent,0,36-45,First Time
491,D00152,24,Male,Learner,0,18-25,First Time
492,D03329,40,Male,Permanent,0,36-45,First Time
493,D01343,36,Male,Permanent,2,36-45,Repeat
494,D00085,66,Male,Permanent,0,65+,First Time
495,D04596,21,Male,Learner,4,18-25,Habitual
496,D00413,34,Male,Permanent,1,26-35,Repeat
497,D00709,37,Male,No License,1,36-45,Repeat
498,D02127,43,Male,Permanent,0,36-45,First Time
499,D00823,32,Male,Permanent,0,26-35,First Time
500,D00525,63,Male,Permanent,1,56-65,Repeat
501,D01390,28,Male,Permanent,1,26-35,Repeat
502,D04063,42,Female,International,0,36-45,First Time
503,D04815,29,Male,Learner,2,26-35,Repeat
504,D04811,32,Female,Permanent,6,26-35,Habitual
505,D03964,27,Male,Permanent,0,26-35,First Time
506,D00347,20,Male,Permanent,2,18-25,Repeat
507,D01729,28,Male,Permanent,0,26-35,First Time
508,D03233,46,Male,No License,0,46-55,First Time
509,D03497,20,Male,Learner,1,18-25,Repeat
510,D02971,27,Female,Permanent,0,26-35,First Time
511,D02899,21,Female,Permanent,7,18-25,Habitual
512,D01025,20,Male,Permanent,0,18-25,First Time
513,D02496,22,Male,Permanent,2,18-25,Repeat
514,D03543,21,Male,Permanent,0,18-25,First Time
515,D03089,31,Male,Learner,0,26-35,First Time
516,D02080,33,Male,Permanent,0,26-35,First Time
517,D01758,36,Male,Permanent,0,36-45,First Time
518,D00284,29,Female,Learner,0,26-35,First Time
519,D00796,25,Male,Permanent,0,18-25,First Time
520,D01644,30,Male,Learner,0,26-35,First Time
521,D01359,52,Female,No License,2,46-55,Repeat
522,D01431,29,Female,No License,0,26-35,First Time
523,D01497,18,Male,No License,0,18-25,First Time
524,D04111,30,Female,Learner,0,26-35,First Time
525,D02178,25,Male,No License,0,18-25,First Time
526,D00519,23,Male,Permanent,0,18-25,First Time
527,D03826,30,Male,Permanent,0,26-35,First Time
528,D03276,28,Male,Permanent,0,26-35,First Time
529,D03137,23,Female,Learner,7,18-25,Habitual
530,D00201,26,Male,Permanent,1,26-35,Repeat
531,D01894,23,Female,Permanent,0,18-25,First Time
532,D04786,29,Male,Permanent,0,26-35,First Time
533,D00030,29,Male,Permanent,0,26-35,First Time
534,D04084,27,Male,Permanent,6,26-35,Habitual
535,D00881,35,Female,Permanent,2,26-35,Repeat
